"","prop_sampled","sim_num","method","(Intercept)","age","age_sq"
"1",0.21,1,"none",0.541684785782291,0.00913871464018282,2.11919054652908e-05
"2",0.21,1,"rake",2.40695843683924e-08,0.00147713245573103,0.362478278635385
"3",0.21,1,"strat",1.23343221073809e-08,0.00104477742349892,0.301407384141739
"4",0.21,1,"calib",1.22152155927976e-05,3.37057800175333e-10,3.36817972098459e-15
"5",0.21,1,"lasso",0.584159688412779,0.00686350909464594,6.58965215127548e-06
"6",0.21,1,"logit",6.7344153399524e-11,3.69003139609917e-05,0.0586854057396346
"7",0.21,1,"bart",0.00209538113994061,0.585852644341,0.0646782104044778
"8",0.21,2,"none",0.293104480973257,0.327567126231779,0.00741836961255081
"9",0.21,2,"rake",0.221985689198565,0.10917357924015,1.60631620111605e-05
"10",0.21,2,"strat",0.146464758809456,0.154720316635977,3.60623350350824e-05
"11",0.21,2,"calib",0.0941844119048285,0.000397795883372043,3.60478715349023e-07
"12",0.21,2,"lasso",0.212726072311363,0.491948459269426,0.0182199804047914
"13",0.21,2,"logit",0.00683519598307756,0.934549597951679,0.00688814269076425
"14",0.21,2,"bart",0.560928251588329,0.0205566569779638,4.94539180570788e-07
"15",0.21,3,"none",0.276622441517306,0.390389228026315,0.013214859786129
"16",0.21,3,"rake",0.0946178695708077,0.26911264126437,0.000163926786053174
"17",0.21,3,"strat",0.157814381946904,0.158306982249092,5.00352417010107e-05
"18",0.21,3,"calib",0.153513672731967,0.467535055312938,0.0174549457111833
"19",0.21,3,"lasso",0.0878479958588635,0.675245108177543,0.0227377899817991
"20",0.21,3,"logit",0.00407040591175057,0.919201932217039,0.00320769058031925
"21",0.21,3,"bart",0.955215437927259,0.00495270650150754,4.94361935445819e-08
"22",0.21,4,"none",0.938146096970211,0.0498711722604054,0.000244158880625404
"23",0.21,4,"rake",0.000781466157146322,0.596899033308807,0.0264886815219765
"24",0.21,4,"strat",0.000432081757251201,0.538676303979048,0.0313405449173811
"25",0.21,4,"calib",0.452729353637863,0.191083075309951,0.0029585378876698
"26",0.21,4,"lasso",0.600895137816026,0.00421313581602736,1.01358562260957e-06
"27",0.21,4,"logit",6.7830587823459e-09,0.00475550161338511,0.961746306360375
"28",0.21,4,"bart",3.6208241588357e-08,0.00914698764545482,0.887832458860928
"29",0.21,5,"none",0.961275852072616,0.0559864465572081,0.000398939442027542
"30",0.21,5,"rake",0.0235507014413624,3.63897396728032e-07,7.90428739878176e-15
"31",0.21,5,"strat",0.0421162058582763,8.57331824986082e-07,2.19126753851032e-14
"32",0.21,5,"calib",6.03842177367293e-05,0.0857204038650346,0.92638005041074
"33",0.21,5,"lasso",0.856262316549441,0.0805138156018618,0.000742093886361744
"34",0.21,5,"logit",0.983849312419515,0.00386366972418193,1.71881956719189e-08
"35",0.21,5,"bart",0.097574580801487,6.08361028257603e-06,5.57905074734373e-13
"36",0.21,6,"none",0.641429055162418,0.102017082709819,0.000684842929949436
"37",0.21,6,"rake",4.49499247707309e-13,1.94313666041464e-06,0.018260884739992
"38",0.21,6,"strat",4.67793746773311e-07,0.0223935435792928,0.735219530286397
"39",0.21,6,"calib",1.2289214010023e-07,4.81740331106495e-13,1.70945287442546e-18
"40",0.21,6,"lasso",0.528841645114484,0.114229191836535,0.000456429757861792
"41",0.21,6,"logit",1.68555483643376e-12,0.000175339680351043,0.655469739929912
"42",0.21,6,"bart",0.00934973672345268,0.758409675663072,0.00227127108285181
"43",0.21,7,"none",0.675127622711434,0.11928918948999,0.00128877544342832
"44",0.21,7,"rake",0.194445744475878,0.216064657591799,0.000243423720217984
"45",0.21,7,"strat",0.287251472100271,0.0942598729906661,1.91591791744523e-05
"46",0.21,7,"calib",6.94334094378173e-06,0.0137174659614112,0.432545114978153
"47",0.21,7,"lasso",0.810897644257003,0.0594597228139449,0.00023449681205689
"48",0.21,7,"logit",0.0133728795658423,0.744424275673171,0.0027024216931981
"49",0.21,7,"bart",0.128738821713935,0.223424077852622,0.000134202779932991
"50",0.21,8,"none",0.834744171234852,0.0870972613480007,0.000930687308755795
"51",0.21,8,"rake",0.000366647578577249,0.301600342427478,0.165348811899598
"52",0.21,8,"strat",0.915102920021515,0.0567929609685533,0.000246589456100146
"53",0.21,8,"calib",0.151586467314762,0.000360807434497086,1.25415949579331e-07
"54",0.21,8,"lasso",0.924960042934439,0.0573093576003989,0.000337250095306504
"55",0.21,8,"logit",0.0340687658731166,0.44530201390207,0.000403157198742982
"56",0.21,8,"bart",0.44965865169765,0.0212979327870848,0.000338429433690158
"57",0.21,9,"none",0.366085939474412,0.321169319237209,0.0101931081231713
"58",0.21,9,"rake",0.39376440547332,0.000587769678151975,3.82217753396953e-09
"59",0.21,9,"strat",0.752731740408361,0.0200361427249803,1.62862364705787e-06
"60",0.21,9,"calib",0.00587539003659167,1.44085084656402e-05,2.30448777131284e-08
"61",0.21,9,"lasso",0.299698840536342,0.371053427090494,0.0119766638586674
"62",0.21,9,"logit",0.0135453484115063,0.890189649623295,0.0413884661834172
"63",0.21,9,"bart",0.618603778399184,0.029430691032672,3.24873687927864e-06
"64",0.21,10,"none",0.969852276484979,0.0470066701910365,0.000308291872891644
"65",0.21,10,"rake",0.124859251125446,2.12502485149001e-05,8.93555936992178e-12
"66",0.21,10,"strat",0.389328631883214,0.00462711941561392,5.88111148002675e-06
"67",0.21,10,"calib",0.00412340109800772,2.207402680214e-06,7.21334058141821e-10
"68",0.21,10,"lasso",0.938573871337243,0.0439782248413871,0.000158064333040595
"69",0.21,10,"logit",0.0883209926429722,1.59724415123873e-06,8.54965365766476e-15
"70",0.21,10,"bart",0.297168845467646,0.0101866601203787,0.000138785503143355
"71",0.21,11,"none",0.888339050559589,0.058086411914209,0.000311824772867035
"72",0.21,11,"rake",1.10464306092289e-05,0.0480230317228079,0.728210080066485
"73",0.21,11,"strat",0.442580476227414,0.0515940934190737,6.85744905103738e-06
"74",0.21,11,"calib",0.0283827383404852,7.81009383561799e-06,4.02033263242455e-10
"75",0.21,11,"lasso",0.564960037370696,0.116978816899011,0.000651717926649057
"76",0.21,11,"logit",0.00152326890581906,0.646303818914036,0.0359108003084387
"77",0.21,11,"bart",0.00149006690891838,1.32422407437976e-09,1.76059484640209e-18
"78",0.21,12,"none",0.358101217824861,0.317082386814344,0.00991607236203968
"79",0.21,12,"rake",3.93384644848401e-10,9.61502404787259e-22,3.6015779636478e-37
"80",0.21,12,"strat",2.23837018745908e-09,8.28218902047548e-21,4.88679346198157e-36
"81",0.21,12,"calib",0.312193301592545,0.014140846480974,0.000372873449310214
"82",0.21,12,"lasso",0.11119880350609,0.723106312671634,0.0486913253652355
"83",0.21,12,"logit",0.33839885831836,4.78915526771155e-05,2.15428385111368e-12
"84",0.21,12,"bart",4.82005193611214e-11,3.71417665187665e-23,1.12352994637353e-38
"85",0.21,13,"none",0.966028897739677,0.0460079318544621,0.000216615880990887
"86",0.21,13,"rake",2.54904332103376e-06,0.0659982667632505,0.342740207633428
"87",0.21,13,"strat",2.27853133513515e-08,0.00939128771447209,0.781682058005524
"88",0.21,13,"calib",0.50253494895186,0.00988406519021294,4.65557679423598e-05
"89",0.21,13,"lasso",0.638964077914395,0.0120101458275732,2.50402723726425e-05
"90",0.21,13,"logit",1.1667107656303e-07,0.0329432439874232,0.349619726101675
"91",0.21,13,"bart",9.82053370954147e-08,0.016569864397365,0.707444995299762
"92",0.21,14,"none",0.440927575938253,0.00878995305841701,3.54826758117779e-05
"93",0.21,14,"rake",0.168721579691111,9.5930909047516e-05,3.41666582895483e-10
"94",0.21,14,"strat",0.0791449410451484,7.16820525660818e-06,2.22337006045932e-12
"95",0.21,14,"calib",0.00512626970881987,0.342699234792282,0.605488762861256
"96",0.21,14,"lasso",0.196299546713458,0.00128840940303534,1.55843707622781e-06
"97",0.21,14,"logit",5.77781594364324e-17,2.53480713518747e-10,8.78048276972482e-06
"98",0.21,14,"bart",0.00183827706742215,2.80382067764129e-09,1.29550812592979e-17
"99",0.21,15,"none",0.1197252581875,0.66636479372463,0.0358472863142814
"100",0.21,15,"rake",0.857909774277059,0.00422297783618204,5.77119212573773e-08
"101",0.21,15,"strat",0.428208990426495,0.0530514281125067,6.60027707334909e-06
"102",0.21,15,"calib",0.0252611098991478,2.98321246663028e-05,8.43863332650296e-09
"103",0.21,15,"lasso",0.0564089460469974,0.918854913481591,0.0708690818932448
"104",0.21,15,"logit",0.0214817455877644,0.850617432151216,0.012285921215182
"105",0.21,15,"bart",0.149307033300428,0.215537671084834,0.00017417587082519
"106",0.21,16,"none",0.631909305556781,0.127840571382123,0.00155382670471585
"107",0.21,16,"rake",0.34218486736367,0.0479167653270588,2.14675813077595e-06
"108",0.21,16,"strat",0.752575178483822,0.00092077524722923,9.11866308172745e-10
"109",0.21,16,"calib",0.257954170074469,0.00402676671492152,2.89022868204478e-05
"110",0.21,16,"lasso",0.72796839162935,0.112811274353743,0.00141130931720146
"111",0.21,16,"logit",0.0493042985445175,5.60816831319342e-07,4.7270284639735e-15
"112",0.21,16,"bart",5.45079480177912e-06,3.95852972130077e-14,3.62257948576788e-25
"113",0.21,17,"none",0.422565848890599,0.00547119690426167,9.90672245653464e-06
"114",0.21,17,"rake",2.05068329288854e-16,3.10818517910498e-29,6.20248980051986e-45
"115",0.21,17,"strat",1.90034740043514e-19,1.54868002938742e-34,6.29992774467717e-53
"116",0.21,17,"calib",0.832411170130956,0.103268305999039,0.00181360339169743
"117",0.21,17,"lasso",0.0283554316718546,2.03822053014246e-05,2.36328698777621e-09
"118",0.21,17,"logit",0.907748846892552,0.00615330544016887,5.27896773927917e-08
"119",0.21,17,"bart",1.99165506104683e-25,4.86951473375149e-43,5.61588289418821e-64
"120",0.21,18,"none",0.459714996669851,0.00789241010499737,2.22931026440018e-05
"121",0.21,18,"rake",4.88475350012804e-07,8.61543069450337e-16,9.95628209602468e-28
"122",0.21,18,"strat",2.94242125981464e-09,1.31883859379969e-19,3.60207378561204e-33
"123",0.21,18,"calib",0.37113003410981,0.49653766634715,0.0461439699349726
"124",0.21,18,"lasso",0.704024132312666,0.0154559586964329,3.50007459233569e-05
"125",0.21,18,"logit",0.159784310435772,1.09171412212048e-05,4.58964053770604e-13
"126",0.21,18,"bart",4.28793863373433e-15,2.0403240884135e-28,1.00301612711445e-44
"127",0.21,19,"none",0.344840754666151,0.347818153578369,0.0119340688965871
"128",0.21,19,"rake",9.34975641634512e-10,0.000161428198000115,0.123267608541139
"129",0.21,19,"strat",1.66467733208446e-12,2.43045840359689e-06,0.0120763027589281
"130",0.21,19,"calib",0.0423845265665018,0.864572410800665,0.184217889098811
"131",0.21,19,"lasso",0.365082019215148,0.254162817520223,0.00425500662391643
"132",0.21,19,"logit",6.08457664713651e-05,0.132453230206656,0.390154091309181
"133",0.21,19,"bart",0.0179689882157756,0.908097176738753,0.0155159360090979
"134",0.21,20,"none",0.895630423306511,0.0621289505206494,0.000432000751531327
"135",0.21,20,"rake",0.46034347456513,0.0424989539461595,2.88597414669842e-06
"136",0.21,20,"strat",0.169407022691479,0.175806604972405,9.67486896994513e-05
"137",0.21,20,"calib",0.0408163850986547,0.836152516357584,0.214474541234974
"138",0.21,20,"lasso",0.589966750964947,0.122075275854017,0.000801995862922449
"139",0.21,20,"logit",0.0406175321558275,0.41884293773164,0.000367191594302382
"140",0.21,20,"bart",0.65590668432582,0.0220337241285957,1.61554725187941e-06
"141",0.21,21,"none",0.175548289310554,0.488108153543159,0.0166725185099106
"142",0.21,21,"rake",0.00462282012419925,0.644555762729064,0.0877607116186684
"143",0.21,21,"strat",0.0295895210031316,0.762632064027979,0.0108058861659492
"144",0.21,21,"calib",0.000126708543614742,0.0460284184747692,0.58676453159196
"145",0.21,21,"lasso",0.180018433405577,0.449898822156135,0.0120607353718561
"146",0.21,21,"logit",0.019392726928033,0.636139965075025,0.00217288435888089
"147",0.21,21,"bart",0.959410446476111,0.0102979425669092,1.33505558245957e-06
"148",0.21,22,"none",0.478191648286228,0.238746038049796,0.006227782281475
"149",0.21,22,"rake",1.37493929808327e-17,1.17644624551965e-10,7.90229545746956e-06
"150",0.21,22,"strat",3.04539685156001e-17,3.8690704815262e-10,2.43986716234376e-05
"151",0.21,22,"calib",0.0276762779820851,6.26909112146663e-05,5.39616065171809e-08
"152",0.21,22,"lasso",0.296352392886549,0.344104536838774,0.00878356800158136
"153",0.21,22,"logit",5.61507988600355e-10,9.47906518350573e-05,0.0777810760214804
"154",0.21,22,"bart",5.29689031918809e-15,2.71625243547435e-08,0.00053076674943793
"155",0.21,23,"none",0.31187736127638,0.273120236130385,0.00421298368736149
"156",0.21,23,"rake",5.22152367522766e-20,2.48907359118239e-11,1.92793566323189e-05
"157",0.21,23,"strat",1.94224451148366e-12,1.59360784159648e-05,0.0831373095451516
