"","prop_sampled","sim_num","method","(Intercept)","age","age_sq","Error age","Error age squared","Error Intercept"
"1",0.01,1,"none",2.73558065203364,-0.0144873210794642,-0.000457227475158416,-0.021350414623795,0.000189515522780768,0.595674138088859
"2",0.01,1,"rake",-3.47019944928777,0.193278521299958,-0.00217726176634428,0.186415427755627,-0.00153051876840509,-5.61010596323255
"3",0.01,1,"strat",-1.05156156563376,0.128141935613477,-0.00174794013690213,0.121278842069146,-0.00110119713896294,-3.19146807957854
"4",0.01,1,"calib",-4.24882443908519,0.255812114247916,-0.00296119535151262,0.248949020703585,-0.00231445235357343,-6.38873095302997
"5",0.01,1,"lasso",-2.45527998252806,0.160057873191822,-0.00190459069345832,0.153194779647492,-0.00125784769551914,-4.59518649647283
"6",0.01,1,"logit",108.655417358082,-3.76501979661042,0.0324481889253872,-3.77188289015475,0.0330949319233264,106.515510844137
"7",0.01,1,"bart",2.514847132162,0.0119137402873186,-0.000831729883561141,0.00505064674298778,-0.000184986885621957,0.374940618217225
"8",0.01,2,"none",6.92733434922117,-0.16776376908551,0.000915931060552019,-0.174626862629841,0.0015626740584912,4.7874278352764
"9",0.01,2,"rake",8.06873448640302,-0.219768266344372,0.00147586967338737,-0.226631359888703,0.00212261267132656,5.92882797245824
"10",0.01,2,"strat",11.1300605854058,-0.313591092250955,0.00216757687372872,-0.320454185795286,0.00281431987166791,8.99015407146098
"11",0.01,2,"calib",7.99102085415333,-0.222936709042611,0.00153919066949658,-0.229799802586942,0.00218593366743576,5.85111434020855
"12",0.01,2,"lasso",11.6304089317338,-0.333651838029496,0.00236393406237135,-0.340514931573827,0.00301067706031053,9.49050241778901
"13",0.01,2,"logit",-2.75737382270333,0.159968072049264,-0.00182603673768179,0.153104978504934,-0.00117929373974261,-4.89728033664811
"14",0.01,2,"bart",12.0175302766939,-0.338968286547925,0.00233755091653803,-0.345831380092256,0.00298429391447721,9.8776237627491
"15",0.01,3,"none",-12.8511970759713,0.542045199390712,-0.00537617461737595,0.535182105846381,-0.00472943161943677,-14.9911035899161
"16",0.01,3,"rake",-12.0584169254529,0.509591026658167,-0.0050752438993627,0.502727933113836,-0.00442850090142352,-14.1983234393976
"17",0.01,3,"strat",-10.081399466834,0.445545257935791,-0.00453401709493991,0.43868216439146,-0.00388727409700073,-12.2213059807788
"18",0.01,3,"calib",-30.0764885895771,1.12940040378125,-0.0103695137254259,1.12253731023692,-0.00972277072748671,-32.2163951035219
"19",0.01,3,"lasso",-13.7105577019563,0.580447060189448,-0.00578695642501302,0.573583966645117,-0.00514021342707384,-15.850464215901
"20",0.01,3,"logit",-1.9928836950858,0.239398609699527,-0.00328148706701825,0.232535516155196,-0.00263474406907907,-4.13279020903058
"21",0.01,3,"bart",-14.1808529012768,0.591210357058289,-0.00581534338959698,0.584347263513958,-0.0051686003916578,-16.3207594152216
"22",0.01,4,"none",1.76296493657923,0.0245386911444574,-0.000824982537874734,0.0176755976001266,-0.000178239539935549,-0.376941577365548
"23",0.01,4,"rake",-0.129820021433789,0.100000428688757,-0.00155074301504791,0.0931373351444263,-0.00090400001710873,-2.26972653537857
"24",0.01,4,"strat",-3.71708546615841,0.217151462902106,-0.00249863717982164,0.210288369357775,-0.00185189418188246,-5.85699198010319
"25",0.01,4,"calib",17.8847284030231,-0.5117212248336,0.00357427911245154,-0.518584318377931,0.00422102211039073,15.7448218890783
"26",0.01,4,"lasso",3.2447767768086,-0.0184308311788862,-0.000521042727675698,-0.025293924723217,0.000125700270263486,1.10487026286382
"27",0.01,4,"logit",1.76296493657923,0.0245386911444574,-0.000824982537874734,0.0176755976001266,-0.000178239539935549,-0.376941577365548
"28",0.01,4,"bart",2.76255561024369,0.00360813933694177,-0.000769443050687591,-0.00325495420738909,-0.000122700052748406,0.622649096298915
"29",0.01,5,"none",3.17527186880023,-0.0249749286200824,-0.00040485569833754,-0.0318380221644132,0.000241887299601645,1.03536535485545
"30",0.01,5,"rake",10.3014677157415,-0.270764692298126,0.00169736021984436,-0.277627785842457,0.00234410321778355,8.16156120179669
"31",0.01,5,"strat",6.67225158566121,-0.14943962313592,0.000683511647570045,-0.156302716680251,0.00133025464550923,4.53234507171643
"32",0.01,5,"calib",-3.31568701187331,0.185465637040892,-0.00207977415966717,0.178602543496561,-0.00143303116172798,-5.45559352581808
"33",0.01,5,"lasso",8.18151346263658,-0.214444294001005,0.00136720961333432,-0.221307387545336,0.0020139526112735,6.0416069486918
"34",0.01,5,"logit",17.7097572561838,-0.469673031238466,0.0029681969116855,-0.476536124782796,0.00361493990962469,15.5698507422391
"35",0.01,5,"bart",4.84375890496807,-0.075174155833647,-5.2716359451723e-05,-0.0820372493779779,0.000594026638487461,2.70385239102329
"36",0.01,6,"none",0.189408712772331,0.0676733239430231,-0.00108106736903476,0.0608102303986922,-0.000434324371095576,-1.95049780117245
"37",0.01,6,"rake",1.14879918012961,0.0249339232599695,-0.000653278818343829,0.0180708297156386,-6.53582040464461e-06,-0.991107333815167
"38",0.01,6,"strat",2.09419285825595,-0.00377674462004218,-0.000420931170448362,-0.010639838164373,0.000225811827490823,-0.0457136556888225
"39",0.01,6,"calib",5.05951914536774,-0.103678937244659,0.000380796522306985,-0.11054203078899,0.00102753952024617,2.91961263142296
"40",0.01,6,"lasso",4.53849514811834,-0.0824988942118412,0.000216480082959597,-0.089361987756172,0.000863223080898781,2.39858863417357
"41",0.01,6,"logit",-36.5431473337847,1.24799116073201,-0.010546953492854,1.24112806718768,-0.00990021049491485,-38.6830538477295
