"","prop_sampled","sim_num","method","(Intercept)","age","age_sq","Error age","Error age squared","Error Intercept"
"1",0.057,1,"none",5.08271220116346,-0.0958559549970369,0.000247639532562189,-0.102719048541368,0.000894382530501374,2.94280568721868
"2",0.057,1,"rake",8.0059439827306,-0.19708149746945,0.00111153996986929,-0.203944591013781,0.00175828296780847,5.86603746878582
"3",0.057,1,"strat",2.58399670908753,-0.00794475784039209,-0.000526831535873554,-0.0148078513847229,0.00011991146206563,0.444090195142753
"4",0.057,1,"calib",2.16442023824052,0.00963947403420634,-0.000714062784036046,0.00277638048987549,-6.73197860968617e-05,0.0245137242957383
"5",0.057,1,"lasso",4.14843175491932,-0.0626691415237041,-5.075732190476e-05,-0.069532235068035,0.000595985676034424,2.00852524097454
"6",0.057,1,"logit",7.08099652151024,-0.165203107563992,0.000847415092196822,-0.172066201108323,0.00149415809013601,4.94109000756546
"7",0.057,1,"bart",7.20713098456393,-0.17164853242253,0.000910689882462801,-0.178511625966861,0.00155743288040199,5.06722447061916
"8",0.057,2,"none",5.35058771964871,-0.106267664393523,0.000343964759336518,-0.113130757937854,0.000990707757275702,3.21068120570393
"9",0.057,2,"rake",9.31254955670554,-0.245746752394196,0.00155977802944943,-0.252609845938527,0.00220652102738861,7.17264304276076
"10",0.057,2,"strat",5.39742132897357,-0.106662822723751,0.000333683447473288,-0.113525916268081,0.000980426445412472,3.25751481502879
"11",0.057,2,"calib",9.1808274656871,-0.239850213803712,0.00152340482812315,-0.246713307348043,0.00217014782606234,7.04092095174233
"12",0.057,2,"lasso",5.44056008628128,-0.111063498611935,0.000401259124878603,-0.117926592156266,0.00104800212281779,3.3006535723365
"13",0.057,2,"logit",11.5140089674191,-0.326142166828986,0.00226960664867887,-0.333005260373317,0.00291634964661806,9.3741024534743
"14",0.057,2,"bart",5.91053654948847,-0.126444110174176,0.000521483709661593,-0.133307203718507,0.00116822670760078,3.7706300355437
"15",0.057,3,"none",1.9738021582198,0.00984734155644426,-0.000637272312254503,0.00298424801211341,9.47068568468159e-06,-0.166104355724973
"16",0.057,3,"rake",4.14611671872315,-0.0693381542756458,4.89821680528524e-05,-0.0762012478199766,0.000695725165992037,2.00621020477837
"17",0.057,3,"strat",3.61715503923539,-0.0501667757489811,-9.97012751436501e-05,-0.057029869293312,0.000547041722795534,1.47724852529062
"18",0.057,3,"calib",5.2663875896406,-0.104921219664437,0.000342168178797161,-0.111784313208768,0.000988911176736345,3.12648107569582
"19",0.057,3,"lasso",2.62598748747075,-0.0200979669035075,-0.000341731144727507,-0.0269610604478383,0.000305011853211677,0.486080973525975
"20",0.057,3,"logit",5.30641503104157,-0.109360543078968,0.000399063199630137,-0.116223636623299,0.00104580619756932,3.16650851709679
"21",0.057,3,"bart",5.5431975871526,-0.110507641966648,0.00036580644792534,-0.117370735510979,0.00101254944586452,3.40329107320782
"22",0.057,4,"none",0.25962153752958,0.069589680119519,-0.00115935720935143,0.0627265865751881,-0.00051261421141225,-1.8802849764152
"23",0.057,4,"rake",9.91104255275188,-0.271422968350287,0.00180480464880721,-0.278286061894617,0.00245154764674639,7.7711360388071
"24",0.057,4,"strat",11.0457107659181,-0.308519630732548,0.00211988555401417,-0.315382724276879,0.00276662855195336,8.90580425197335
"25",0.057,4,"calib",-9.47871227025254,0.418797412949798,-0.00425432904205887,0.411934319405468,-0.00360758604411969,-11.6186187841973
"26",0.057,4,"lasso",2.20906371267625,0.00235473964232077,-0.000585846542810845,-0.00450835390201008,6.08964551283393e-05,0.0691571987314754
"27",0.057,4,"logit",11.53520791999,-0.340106262268566,0.00250089908481307,-0.346969355812897,0.00314764208275225,9.39530140604525
"28",0.057,4,"bart",8.1072522324055,-0.205245005856371,0.00123232288769305,-0.212108099400702,0.00187906588563223,5.96734571846073
"29",0.057,5,"none",-0.953300485425765,0.111527527198695,-0.00151625360151856,0.104664433654364,-0.000869510603579378,-3.09320699937054
"30",0.057,5,"rake",-0.217607444659738,0.0787949151351175,-0.00117834128972828,0.0719318215907866,-0.000531598291789095,-2.35751395860452
"31",0.057,5,"strat",2.67152753250623,-0.0166381926554629,-0.000396182604565712,-0.0235012861997937,0.000250560393373472,0.53162101856145
"32",0.057,5,"calib",-8.55292481030699,0.346802583342913,-0.00337118392252072,0.339939489798582,-0.00272444092458154,-10.6928313242518
"33",0.057,5,"lasso",2.25651867090083,0.00202279695937112,-0.000591154561775399,-0.00484029658495973,5.55884361637856e-05,0.116612156956049
"34",0.057,5,"logit",2.19690879888423,-0.00289992792999193,-0.000507080479952264,-0.00976302147432278,0.000139662517986921,0.05700228493945
"35",0.057,5,"bart",1.14224368679862,0.0416094213211625,-0.000938065862365035,0.0347463277768317,-0.000291322864425851,-0.997662827146159
"36",0.057,6,"none",0.0149325306503953,0.0777962342186501,-0.00122983060840701,0.0709331406743192,-0.000583087610467829,-2.12497398329438
"37",0.057,6,"rake",2.77569900506876,-0.0218700020572013,-0.000346268846620535,-0.0287330956015321,0.000300474151318649,0.635792491123984
"38",0.057,6,"strat",1.33632876672624,0.0296668272009232,-0.000802183180671761,0.0228037336565924,-0.000155440182732577,-0.803577747218542
"39",0.057,6,"calib",9.08598082522532,-0.260460153522217,0.00190045129174539,-0.267323247066548,0.00254719428968457,6.94607431128055
"40",0.057,6,"lasso",1.33357552707595,0.0332260223172833,-0.000856265652188957,0.0263629287729524,-0.000209522654249772,-0.806330986868829
"41",0.057,6,"logit",18.0564875734765,-0.543180797611009,0.00400486850588296,-0.55004389115534,0.00465161150382214,15.9165810595317
"42",0.057,6,"bart",2.67217127100641,-0.0146997290501872,-0.000437394155807123,-0.021562822594518,0.000209348842132061,0.532264757061635
"43",0.057,7,"none",-2.16789618782031,0.164245851196362,-0.00206676921307502,0.157382757652031,-0.00142002621513584,-4.30780270176508
"44",0.057,7,"rake",-6.81155681765566,0.315239165351888,-0.00327406594578159,0.308376071807557,-0.00262732294784241,-8.95146333160043
"45",0.057,7,"strat",-6.26772150236302,0.301441244229711,-0.00319629940692753,0.29457815068538,-0.00254955640898834,-8.4076280163078
"46",0.057,7,"calib",12.3384438134016,-0.359992677737721,0.00261656440303392,-0.366855771282052,0.0032633074009731,10.1985372994568
"47",0.057,7,"lasso",-2.64501921695112,0.182097423388609,-0.00222448821699382,0.175234329844278,-0.00157774521905464,-4.7849257308959
"48",0.057,7,"logit",-5.60012809981087,0.283934678353159,-0.00309314607259111,0.277071584808828,-0.00244640307465192,-7.74003461375565
"49",0.057,7,"bart",-3.84207478927786,0.223146202877814,-0.00257443369991705,0.216283109333483,-0.00192769070197787,-5.98198130322263
"50",0.057,8,"none",-3.22331781117993,0.190102144068475,-0.00218521434400781,0.183239050524144,-0.00153847134606863,-5.36322432512471
"51",0.057,8,"rake",-0.893353694490676,0.108710773819285,-0.00148312123856018,0.101847680274955,-0.000836378240620991,-3.03326020843545
"52",0.057,8,"strat",-2.11300290560179,0.157003508186268,-0.00194287716628,0.150140414641937,-0.00129613416834082,-4.25290941954657
"53",0.057,8,"calib",4.02212948638332,-0.0607311684764671,-5.75405374435562e-05,-0.067594262020798,0.000589202460495628,1.88222297243854
"54",0.057,8,"lasso",-2.41098297991973,0.170673670614674,-0.00208095116141272,0.163810577070343,-0.00143420816347353,-4.55088949386451
"55",0.057,8,"logit",2.71066551001615,-0.0141805753904757,-0.000460616004391008,-0.0210436689348065,0.000186126993548176,0.570758996071377
"56",0.057,8,"bart",-6.21720101642307,0.304844395232964,-0.00324919816614079,0.297981301688634,-0.0026024551682016,-8.35710753036785
"57",0.057,9,"none",-1.84777573319967,0.142256681202841,-0.00178294008514386,0.13539358765851,-0.00113619708720467,-3.98768224714444
"58",0.057,9,"rake",2.80705802176838,-0.0262067594606395,-0.00028265139312301,-0.0330698530049704,0.000364091604816175,0.667151507823606
"59",0.057,9,"strat",4.01332420133825,-0.0639902132317352,1.42058377696811e-05,-0.0708533067760661,0.000660948835708865,1.87341768739347
"60",0.057,9,"calib",-12.7249092674663,0.515014615271855,-0.0049349945277322,0.508151521727524,-0.00428825152979301,-14.864815781411
"61",0.057,9,"lasso",0.977514550694139,0.0412501474719318,-0.000892890727664449,0.034387053927601,-0.000246147729725265,-1.16239196325064
"62",0.057,9,"logit",14.6207486867436,-0.436282801966409,0.0032147736671104,-0.44314589551074,0.00386151666504958,12.4808421727988
"63",0.057,9,"bart",2.1150098607107,0.00098825944472434,-0.000530654590734127,-0.00587483409960651,0.000116088407205058,-0.0248966532340797
"64",0.057,10,"none",0.940046468088722,0.0527950937290814,-0.00107372642716415,0.0459320001847506,-0.000426983429224961,-1.19986004585606
"65",0.057,10,"rake",-1.6917984408348,0.140172814244663,-0.00178595160456183,0.133309720700332,-0.00113920860662265,-3.83170495477958
"66",0.057,10,"strat",1.1505775437504,0.0452557555694996,-0.000994682860615617,0.0383926620251688,-0.000347939862676433,-0.989328970194377
"67",0.057,10,"calib",-0.108927756646277,0.0927601960996168,-0.00145573396181543,0.0858971025552859,-0.000808990963876248,-2.24883427059105
"68",0.057,10,"lasso",-1.7105854406508,0.142969116768542,-0.00183093558438434,0.136106023224211,-0.00118419258644515,-3.85049195459557
"69",0.057,10,"logit",0.727468472316428,0.0505669264474506,-0.000955473716364303,0.0437038329031197,-0.000308730718425119,-1.41243804162835
"70",0.057,10,"bart",-0.45000154653517,0.0993718530734171,-0.00145036238658433,0.0925087595290863,-0.000803619388645146,-2.58990806047995
"71",0.057,11,"none",1.12498471329947,0.0358025435761332,-0.00084154404947332,0.0289394500318023,-0.000194801051534135,-1.01492180064531
"72",0.057,11,"rake",4.17033991536417,-0.0747442653796733,0.000133153662404066,-0.0816073589240041,0.00077989666034325,2.03043340141939
"73",0.057,11,"strat",2.57179748450831,-0.0121736940687486,-0.000446782652798218,-0.0190367876130794,0.000199960345140966,0.431890970563531
"74",0.057,11,"calib",1.69190597838539,0.0294820580385469,-0.000912464932662152,0.022618964494216,-0.000265721934722968,-0.448000535559383
"75",0.057,11,"lasso",1.49538921318914,0.0224902401859793,-0.000739454871193262,0.0156271466416485,-9.27118732540781e-05,-0.644517300755638
"76",0.057,11,"logit",4.66316568583638,-0.0895180878876297,0.000254104548408296,-0.0963811814319605,0.00090084754634748,2.5232591718916
"77",0.057,11,"bart",0.462746259112311,0.0612884979062353,-0.00107947608280219,0.0544254043619044,-0.000432733084863007,-1.67716025483247
"78",0.057,12,"none",1.07605831788568,0.042344182364787,-0.000925761164321655,0.0354810888204562,-0.000279018166382471,-1.06384819605909
"79",0.057,12,"rake",-1.68616122469833,0.137803353277908,-0.00175836286579912,0.130940259733577,-0.00111161986785993,-3.82606773864311
"80",0.057,12,"strat",-0.191333289419984,0.086305312886195,-0.00130059425346859,0.0794422193418641,-0.00065385125552941,-2.33123980336476
"81",0.057,12,"calib",15.7210406274768,-0.456673658814587,0.00328929539653973,-0.463536752358918,0.00393603839447892,13.581134113532
"82",0.057,12,"lasso",0.53505623352003,0.0607165973998879,-0.00107692997813869,0.053853503855557,-0.000430186980199501,-1.60485028042475
"83",0.057,12,"logit",-2.71569967592394,0.172501802717396,-0.00204196656186009,0.165638709173065,-0.00139522356392091,-4.85560618986872
"84",0.057,12,"bart",0.847943924227981,0.0507410541716503,-0.000992463521154682,0.0438779606273195,-0.000345720523215497,-1.2919625897168
"85",0.057,13,"none",2.02056877304148,0.00919679767526487,-0.000634097993801876,0.00233370413093402,1.26450041373084e-05,-0.119337740903294
"86",0.057,13,"rake",9.24145134152716,-0.244932464390381,0.00156308740549449,-0.251795557934712,0.00220983040343368,7.10154482758238
"87",0.057,13,"strat",10.2885265647645,-0.276550763674888,0.00180920233382377,-0.283413857219219,0.00245594533176295,8.14862005081968
"88",0.057,13,"calib",-0.33353939145937,0.105517530406394,-0.00161033822735713,0.0986544368620629,-0.000963595229417949,-2.47344590540415
"89",0.057,13,"lasso",1.86641080445611,0.0140127825682252,-0.000668703883289243,0.00714968902389439,-2.19608853500584e-05,-0.273495709488666
"90",0.057,13,"logit",11.9895301094525,-0.336759016925364,0.00232842085934748,-0.343622110469695,0.00297516385728667,9.84962359550776
"91",0.057,13,"bart",7.64905158992553,-0.188406344801228,0.00108311375973082,-0.195269438345559,0.00172985675767,5.50914507598075
"92",0.057,14,"none",2.18036755636967,0.00595152066248477,-0.000635573980654484,-0.000911572881846078,1.11690172847007e-05,0.0404610424248881
"93",0.057,14,"rake",4.47881963959695,-0.0786321025120403,0.000124682794982469,-0.0854951960563712,0.000771425792921653,2.33891312565218
"94",0.057,14,"strat",5.06596463977424,-0.0937830489573321,0.000217755553879467,-0.100646142501663,0.000864498551818652,2.92605812582947
"95",0.057,14,"calib",3.09847132462504,-0.0376685121996805,-0.000182915795649854,-0.0445316057440114,0.000463827202289331,0.958564810680266
"96",0.057,14,"lasso",5.08008159310745,-0.0934068068144274,0.000196611343625236,-0.100269900358758,0.000843354341564421,2.94017507916267
"97",0.057,14,"logit",2.05874357279734,0.00781586188288212,-0.000638641759740389,0.00095276833855127,8.10123819879537e-06,-0.0811629411474364
"98",0.057,14,"bart",5.61559275806075,-0.116031357359929,0.000442203632391149,-0.12289445090426,0.00108894663033033,3.47568624411598
"99",0.057,15,"none",-2.80003993069319,0.181790656253525,-0.00217362289234747,0.174927562709194,-0.00152687989440828,-4.93994644463797
"100",0.057,15,"rake",-5.24471173582394,0.264438650788454,-0.00287429428410361,0.257575557244123,-0.00222755128616442,-7.38461824976871
"101",0.057,15,"strat",-6.78096904979888,0.321413633240885,-0.0033827443647283,0.314550539696555,-0.00273600136678912,-8.92087556374365
"102",0.057,15,"calib",-6.60372373304466,0.305649281985914,-0.00316338900420405,0.298786188441583,-0.00251664600626486,-8.74363024698943
"103",0.057,15,"lasso",-3.59035153120711,0.209744665509012,-0.00241995480810322,0.202881571964681,-0.00177321181016403,-5.73025804515188
"104",0.057,15,"logit",-6.01289429781551,0.294611024536785,-0.00315984148017715,0.287747930992454,-0.00251309848223796,-8.15280081176028
"105",0.057,15,"bart",-6.41082828498404,0.30875784075237,-0.00327616260535431,0.301894747208039,-0.00262941960741512,-8.55073479892881
