"","prop_sampled","sim_num","method","(Intercept)","age","Error age","Error Intercept"
"1",0.21,1,"none",4.22521318422124,-0.0664687501026386,0.00687903336156827,-0.36525751838322
"2",0.21,1,"rake",4.0722035848927,-0.0644402522937278,0.00890753117047903,-0.518267117711756
"3",0.21,1,"strat",4.13710955315495,-0.0651288413520327,0.00821894211217412,-0.453361149449507
"4",0.21,1,"calib",3.9261908595065,-0.0644741807445703,0.00887360271963658,-0.664279843097963
"5",0.21,1,"lasso",4.42404309446314,-0.0699282245406024,0.00341955892360447,-0.166427608141318
"6",0.21,1,"logit",4.18539984719743,-0.0662790980648915,0.00706868539931535,-0.40507085540703
"7",0.21,1,"bart",4.3237962401287,-0.0689642110774835,0.00438357238672335,-0.266674462475761
"8",0.21,2,"none",4.27079043038398,-0.0675492145287846,0.00579856893542222,-0.319680272220484
"9",0.21,2,"rake",4.59559434377428,-0.0738755646243219,-0.000527781160115093,0.00512364116982411
"10",0.21,2,"strat",4.5732744783107,-0.0728649276691323,0.000482855795074524,-0.0171962242937571
"11",0.21,2,"calib",3.73243322597738,-0.0604542987951286,0.0128934846690782,-0.858037476627079
"12",0.21,2,"lasso",4.40720884002471,-0.0698287248145521,0.00351905864965471,-0.18326186257975
"13",0.21,2,"logit",4.6840331221959,-0.0748315556937531,-0.00148377222954625,0.0935624195914393
"14",0.21,2,"bart",4.62176871559373,-0.0735175573394457,-0.000169773875238866,0.0312980129892662
"15",0.21,3,"none",4.174456734068,-0.065792135836618,0.00755564762758888,-0.416013968536465
"16",0.21,3,"rake",4.41234283735105,-0.0706010967897173,0.00274668667448952,-0.178127865253415
"17",0.21,3,"strat",4.5066708960488,-0.0715618380864015,0.0017859453778054,-0.0837998065556622
"18",0.21,3,"calib",3.77243310159505,-0.0590579064159055,0.0142898770483014,-0.818037601009407
"19",0.21,3,"lasso",4.41909048783128,-0.06989333514594,0.00345444831826683,-0.171380214773177
"20",0.21,3,"logit",4.57406337300345,-0.0730002919332206,0.000347491530986205,-0.0164073296010141
"21",0.21,3,"bart",4.51086111260435,-0.0714837754486239,0.00186400801558297,-0.0796095900001053
"22",0.21,4,"none",4.32199884664327,-0.0683679982589243,0.0049797852052826,-0.268471855961191
"23",0.21,4,"rake",4.50851277963125,-0.0722086195187519,0.00113916394545494,-0.0819579229732108
"24",0.21,4,"strat",4.60960649744066,-0.0733432134474782,4.57001672862778e-06,0.0191357948362034
"25",0.21,4,"calib",3.92802696027414,-0.0625326369578384,0.0108151465063685,-0.66244374233032
"26",0.21,4,"lasso",4.67249018090706,-0.0745423370935538,-0.00119455362934696,0.0820194783026027
"27",0.21,4,"logit",4.55681391385554,-0.0729093364718015,0.000438446992405347,-0.0336567887489165
"28",0.21,4,"bart",4.44521554628846,-0.0703580177481777,0.00298976571602919,-0.145255156315998
"29",0.21,5,"none",4.16563356749103,-0.0657708951752208,0.00757688828898602,-0.424837135113428
"30",0.21,5,"rake",4.80331623358147,-0.0772643797453984,-0.00391659628119156,0.212845530977009
"31",0.21,5,"strat",4.83729482924485,-0.0774372297856937,-0.00408944632148681,0.246824126640394
"32",0.21,5,"calib",4.09006154613968,-0.0642000221193734,0.00914776134483343,-0.500409156464783
"33",0.21,5,"lasso",4.13530268223139,-0.0653450600079206,0.00800272345628626,-0.455168020373065
"34",0.21,5,"logit",4.74216153456968,-0.0759060171141576,-0.00255823364995078,0.151690831965221
"35",0.21,5,"bart",4.73650877864499,-0.0755245703106046,-0.0021767868463977,0.146038076040528
"36",0.21,6,"none",4.37766963549119,-0.0693994896426278,0.00394829382157906,-0.212801067113267
"37",0.21,6,"rake",4.19942631624659,-0.067027787725116,0.00631999573909085,-0.391044386357869
"38",0.21,6,"strat",4.48181940206008,-0.0712584422097398,0.00208934125446704,-0.108651300544381
"39",0.21,6,"calib",3.81862355674115,-0.0617711230042693,0.0115766604599376,-0.771847145863314
"40",0.21,6,"lasso",4.5729755327443,-0.0727625938530733,0.000585189611133602,-0.01749516986016
"41",0.21,6,"logit",4.67611175605868,-0.0750356657363041,-0.00168788227209721,0.0856410534542213
"42",0.21,6,"bart",4.63268593029777,-0.0735688170567789,-0.000221033592572042,0.0422152276933092
"43",0.21,7,"none",4.07996405009993,-0.0646191518608017,0.00872863160340513,-0.510506652504531
"44",0.21,7,"rake",4.16877218457011,-0.0667776395791668,0.00657014388504006,-0.421698518034347
"45",0.21,7,"strat",4.39896424982206,-0.0702885934011424,0.00305919006306446,-0.191506452782398
"46",0.21,7,"calib",3.99365550054477,-0.0644995878399377,0.0088481956242692,-0.596815202059686
"47",0.21,7,"lasso",4.16309337225291,-0.0658937588269075,0.00745402463729937,-0.427377330351547
"48",0.21,7,"logit",4.30636063745214,-0.0687576668476654,0.00459011661654142,-0.284110065152321
"49",0.21,7,"bart",4.35082158173285,-0.0694368608668605,0.00391092259734635,-0.239649120871609
"50",0.21,8,"none",4.10116043920293,-0.0648189884195401,0.00852879504466679,-0.489310263401534
"51",0.21,8,"rake",4.15053743229154,-0.0663322996061602,0.00701548385804669,-0.439933270312923
"52",0.21,8,"strat",4.31670515510482,-0.0686994641039249,0.00464831936028198,-0.273765547499644
"53",0.21,8,"calib",4.01097752595071,-0.064819399942798,0.0085283835214089,-0.579493176653753
"54",0.21,8,"lasso",4.25058380239742,-0.067265613200057,0.00608217026414984,-0.339886900207043
"55",0.21,8,"logit",4.54501481595277,-0.0729221442841157,0.000425639180091156,-0.0454558866516921
"56",0.21,8,"bart",4.06203391135074,-0.0641179452444331,0.00922983821977379,-0.528436791253722
"57",0.21,9,"none",4.06948547906793,-0.0641742133892897,0.00917357007491718,-0.520985223536532
"58",0.21,9,"rake",4.42613809183102,-0.0708922335988061,0.00245554986540077,-0.164332610773439
"59",0.21,9,"strat",4.45838105326141,-0.0709457804559902,0.00240200300821668,-0.132089649343046
"60",0.21,9,"calib",3.16212714624165,-0.0504117916138009,0.022935991850406,-1.42834355636281
"61",0.21,9,"lasso",4.02799823579026,-0.0635305755609142,0.00981720790329262,-0.562472466814195
"62",0.21,9,"logit",4.24219698997711,-0.0676725443309732,0.00567523913323369,-0.34827371262735
"63",0.21,9,"bart",4.41632970990245,-0.0699916821239331,0.00335610134027374,-0.174140992702007
"64",0.21,10,"none",4.17307499863942,-0.0659375716665316,0.0074102117976753,-0.417395703965044
"65",0.21,10,"rake",4.57695877258424,-0.0732277905687163,0.00011999289549057,-0.0135119300202238
"66",0.21,10,"strat",4.28496333268956,-0.0677417911410438,0.00560599232316306,-0.305507369914896
"67",0.21,10,"calib",3.30653882269739,-0.0514198098933261,0.0219279735708808,-1.28393187990707
"68",0.21,10,"lasso",4.29888991800403,-0.0680788579758222,0.0052689254883847,-0.291580784600433
"69",0.21,10,"logit",4.86519974671994,-0.0781721031635235,-0.0048243196993167,0.274729044115484
