"","prop_sampled","sim_num","method","(Intercept)","age","age_sq"
"1",0.088,1,"none",0.77094333457742,0.105451949037205,0.000827428657865051
"2",0.088,1,"rake",0.171350900553763,0.59456028873275,0.0175324202281769
"3",0.088,1,"strat",0.0654832515863992,0.897270901369925,0.0442293185870577
"4",0.088,1,"calib",0.181620731698497,0.00224598387413153,5.73814730290412e-06
"5",0.088,1,"lasso",0.689731372960986,0.127812738816044,0.00104596594032995
"6",0.088,1,"logit",0.174035314799213,0.596975056710513,0.0206845468690348
"7",0.088,1,"bart",0.0506557736633398,0.962226814057854,0.0504384042942732
"8",0.088,2,"none",0.508470211215252,0.245438170974117,0.00497783000659887
"9",0.088,2,"rake",0.261070238319414,0.507919807592029,0.015963063552303
"10",0.088,2,"strat",0.400378897328951,0.279442220259913,0.00341460730785764
"11",0.088,2,"calib",5.79170530860073e-08,0.000163746354472689,0.0285688065437389
"12",0.088,2,"lasso",0.417457616382236,0.334505817459515,0.00790122566039956
"13",0.088,2,"logit",0.398134430504904,0.0080867976788782,1.16829708362418e-05
"14",0.088,2,"bart",0.144007882641256,0.658898644494361,0.0228588623374715
"15",0.088,3,"none",0.495897060852653,0.212081165004626,0.00298818393973586
"16",0.088,3,"rake",0.0208516145433359,0.687315110245724,0.150539126412556
"17",0.088,3,"strat",0.00424747152375938,0.375372965496353,0.318919928886129
"18",0.088,3,"calib",0.790685009890411,0.0415683606338476,0.000255747742300401
"19",0.088,3,"lasso",0.0916709765767698,0.798484374966586,0.0381047553698532
"20",0.088,3,"logit",0.0209871864943149,0.655414035508008,0.185582577170058
"21",0.088,3,"bart",0.0166051590295565,0.709061378072303,0.124375393239827
"22",0.088,4,"none",0.549022951599298,0.190840553593945,0.00232732813584728
"23",0.088,4,"rake",0.0351385492715907,0.802489689680455,0.114476263007545
"24",0.088,4,"strat",0.0878052994384875,0.833869669102586,0.0393651244527689
"25",0.088,4,"calib",2.71712411249716e-06,6.10648846817447e-12,2.1347456842478e-18
"26",0.088,4,"lasso",0.0695640452331272,0.97455243847405,0.0716205169297464
"27",0.088,4,"logit",0.00876867492545681,0.443682257477864,0.301525698251944
"28",0.088,4,"bart",0.0498125482384605,0.982328813320988,0.0668371611988036
"29",0.088,5,"none",0.916914551488629,0.0495945851650249,0.00027182536300542
"30",0.088,5,"rake",0.607924588478304,0.0149227885793774,1.71249413552893e-05
"31",0.088,5,"strat",0.300785487095443,0.0027479530801301,1.24469334341504e-06
"32",0.088,5,"calib",1.67221608114146e-08,1.11037421079535e-12,2.84339363275747e-16
"33",0.088,5,"lasso",0.561771457821212,0.199323938897747,0.00255849528110247
"34",0.088,5,"logit",0.335527120360617,0.00265021171827181,6.35543497391292e-07
"35",0.088,5,"bart",0.995418695012946,0.0420855393839803,7.63264105637387e-05
