"","prop_sampled","sim_num","method","(Intercept)","age","age_sq"
"31",0.136,5,"strat",0.0340690239895104,0.817219875508624,0.0140956128413086
"32",0.136,5,"calib",0.0261988704712895,0.949064328831533,0.056806983645299
"33",0.136,5,"lasso",0.274123759012849,0.159969235048668,0.000219709769512085
"34",0.136,5,"logit",0.0174618418206292,0.89868204278272,0.0437429306884026
"35",0.136,5,"bart",0.132152622728666,0.380796621027309,0.00189021537789977
"36",0.136,6,"none",0.0194982683532343,0.913675263707726,0.0588019651813286
"37",0.136,6,"rake",0.0104265705427601,0.696808137706008,0.0915007688699305
"38",0.136,6,"strat",0.0646880201820734,0.676970127106929,0.0109637548571943
"39",0.136,6,"calib",0.00478287840727515,2.09385893807725e-07,3.40897860512529e-13
"40",0.136,6,"lasso",0.00773075630504453,0.676335629129743,0.101873099320158
"41",0.136,6,"logit",4.11198388734745e-06,0.0144145578575977,0.699270777299938
"42",0.136,6,"bart",0.0376672701885214,0.795450113561292,0.0145927285709354
"43",0.136,7,"none",0.375292623496863,0.143904712978677,0.000336620020632579
"44",0.136,7,"rake",0.043088970044102,0.784645827176535,0.0120155753215243
"45",0.136,7,"strat",0.0199929271833485,0.968351245517366,0.0205227988556243
"46",0.136,7,"calib",0.000626343255175766,0.247144722605043,0.322957456774306
"47",0.136,7,"lasso",0.462615642096721,0.0908252224126239,7.93496518421259e-05
"48",0.136,7,"logit",0.0290769269692344,0.91264509271259,0.019691797015129
"49",0.136,7,"bart",0.0681533739213631,0.542470681790107,0.0034321237570194
"50",0.136,8,"none",0.0158412126513068,0.978452603608704,0.0267121343800113
"51",0.136,8,"rake",0.000596077241372316,0.270403768281535,0.24926571051883
"52",0.136,8,"strat",0.000151559626895117,0.165295761516645,0.371893233076952
"53",0.136,8,"calib",0.00665065547747012,1.13545352809091e-06,4.31427033514763e-11
"54",0.136,8,"lasso",0.0256040269116441,0.893679668241414,0.0193112612355799
"55",0.136,8,"logit",3.30426350500836e-06,0.0311151139001637,0.840177676998639
"56",0.136,8,"bart",0.000276082425931257,0.268212115065111,0.202840408010445
"57",0.136,9,"none",0.0778722116321332,0.690074909489936,0.0183691202235433
"58",0.136,9,"rake",0.0112259840528087,0.677063665387244,0.094924156326718
"59",0.136,9,"strat",0.0142773442298807,0.814531027636914,0.0571765575363947
"60",0.136,9,"calib",0.126933645683557,0.407130708405426,0.00232842091663491
"61",0.136,9,"lasso",0.0527125078538144,0.910481161762207,0.0411597684564561
"62",0.136,9,"logit",0.00159075685173275,0.309032627859084,0.289026248291946
"63",0.136,9,"bart",0.01053083331211,0.766809261210485,0.0644729508899655
"64",0.136,10,"none",0.67471845794732,0.0494967372951484,3.96560658462264e-05
"65",0.136,10,"rake",0.913598928549946,0.0266364268658886,7.87444086601259e-06
