"","prop_sampled","sim_num","method","(Intercept)","age","age_sq"
"1",0.324,1,"none",0.0301451757882758,0.157959728113395,3.22601193014567e-06
"2",0.324,1,"rake",0.0150299476765447,0.268577246943514,6.38812830880579e-06
"3",0.324,1,"strat",0.00823980444935477,0.332156142160186,1.03085936354369e-05
"4",0.324,1,"calib",0.333790333030792,0.00431502901241109,9.05141623043014e-10
"5",0.324,1,"lasso",0.00899373324181149,0.364580672831373,2.35076491426174e-05
"6",0.324,1,"logit",0.0369257297649253,0.123912996007112,5.88722154513694e-07
"7",0.324,1,"bart",0.00537147798179312,0.37756565884874,1.45382336123264e-05
"8",0.324,2,"none",0.000898833638897668,0.77615698103441,0.00035667294296055
"9",0.324,2,"rake",1.36535580184832e-07,0.0946982177143562,0.0652480607119059
"10",0.324,2,"strat",2.04771400441644e-07,0.139441202503439,0.0361378448381186
"11",0.324,2,"calib",0.0273293948143179,0.122296741862664,1.34861264843028e-06
"12",0.324,2,"lasso",6.86469329297852e-07,0.151138778555778,0.0499423484268521
"13",0.324,2,"logit",8.50953816880361e-08,0.0959275583111912,0.0555947550853044
"14",0.324,2,"bart",2.72530574483299e-06,0.358375158538948,0.00743395293695195
"15",0.324,3,"none",0.35138878503632,0.00683661702462183,2.20659790163359e-09
"16",0.324,3,"rake",0.0114325667298143,0.265766373298728,3.83770328130229e-06
"17",0.324,3,"strat",0.0142750702927233,0.24017350321019,4.16642216312016e-06
"18",0.324,3,"calib",0.0156244109363093,1.60450262402338e-09,5.22829463590522e-20
"19",0.324,3,"lasso",0.0366010670812745,0.139509230779188,1.16041003080498e-06
"20",0.324,3,"logit",0.00373792535739523,0.422616887085279,1.41169423340014e-05
"21",0.324,3,"bart",0.0378104591688963,0.128116633528813,1.27748744193402e-06
"22",0.324,4,"none",0.296602021514589,0.0134667249418184,1.4335153039354e-08
"23",0.324,4,"rake",0.0429889849221207,0.138225893527339,1.06185206937582e-06
"24",0.324,4,"strat",0.0266776477386238,0.167908294275923,1.46725869356808e-06
"25",0.324,4,"calib",0.204304863585602,5.65088767597804e-07,1.40433829404017e-16
"26",0.324,4,"lasso",0.137684308747036,0.0613027643888546,4.6947541450315e-07
"27",0.324,4,"logit",0.0179278599565906,0.238319290848473,4.3961228216395e-06
"28",0.324,4,"bart",0.0208361189610468,0.182251961294391,1.61554156315743e-06
"29",0.324,5,"none",0.0448982141510029,0.105056197310778,9.49687175815447e-07
"30",0.324,5,"rake",0.00282160670292737,0.62071726253539,0.000117593797043659
"31",0.324,5,"strat",0.00176267235888988,0.703924571152503,0.000207125570433712
"32",0.324,5,"calib",0.0716661865131246,0.0600593794493207,3.36962953484237e-07
"33",0.324,5,"lasso",0.0122062445441166,0.2816288037718,1.40152625883584e-05
"34",0.324,5,"logit",0.000271783456209555,0.912098019083739,0.00110635596609748
"35",0.324,5,"bart",0.028679675205916,0.162680658372335,2.43230135246565e-06
"36",0.324,6,"none",0.191697125087993,0.0246020663225115,4.58525483904463e-08
"37",0.324,6,"rake",0.0902972925224937,0.0698565365850243,2.08662234299748e-07
"38",0.324,6,"strat",0.0672137902452879,0.0764752176129555,2.13771770240709e-07
"39",0.324,6,"calib",0.327288781466206,4.64785022279062e-06,1.81990850129054e-14
"40",0.324,6,"lasso",0.0544303585482503,0.0858673709817876,2.75112562360679e-07
"41",0.324,6,"logit",0.0295999283665339,0.143434456935858,7.3754818085188e-07
"42",0.324,6,"bart",0.0493760449392915,0.0875425709397864,2.44855835876203e-07
"43",0.324,7,"none",0.0862701523126232,0.0644959524298495,3.52657325480201e-07
"44",0.324,7,"rake",0.0118625155748103,0.319450776810521,1.12299671492451e-05
"45",0.324,7,"strat",0.00381903661076094,0.47567342855534,3.2223637462036e-05
"46",0.324,7,"calib",0.0132472576680259,1.8997939446034e-09,1.04458224403621e-19
"47",0.324,7,"lasso",0.0110422109116425,0.354555787746147,2.29552970686892e-05
"48",0.324,7,"logit",0.0070801248451014,0.378237899322588,1.63024724902215e-05
"49",0.324,7,"bart",0.00263396497843918,0.541246930785834,5.24548584258863e-05
"50",0.324,8,"none",0.0344669584926312,0.150074181054101,3.39191570082601e-06
"51",0.324,8,"rake",0.00189692224169367,0.704694267293939,0.000198622937435701
"52",0.324,8,"strat",0.000403790546351673,0.9646060527455,0.000601494657120342
"53",0.324,8,"calib",0.00405503856844348,0.400260343428792,4.56019905001103e-05
"54",0.324,8,"lasso",0.0169343203297924,0.292142669045575,1.93880202243083e-05
"55",0.324,8,"logit",0.00138932802227223,0.744509448757322,0.000237718575035427
"56",0.324,8,"bart",0.00141914120274692,0.63911552968937,8.94955796938148e-05
"57",0.324,9,"none",0.0940460529924212,0.0566425781360539,2.4684936393115e-07
"58",0.324,9,"rake",0.0216044357884074,0.220554121150131,3.5218252473646e-06
"59",0.324,9,"strat",0.0181517783331663,0.22039455258446,2.97636254280096e-06
"60",0.324,9,"calib",0.34348943152916,0.00509034582736135,9.08808927358029e-10
"61",0.324,9,"lasso",0.0399186947487428,0.112293996371509,5.5976487883497e-07
"62",0.324,9,"logit",0.00681838842455216,0.368526382307452,1.2856448834895e-05
"63",0.324,9,"bart",0.0520561644820016,0.111567173963446,6.11440038736094e-07
"64",0.324,10,"none",0.0452318789343547,0.11903636402824,1.65107945896531e-06
"65",0.324,10,"rake",0.00642750474451827,0.433870045230542,3.14324528121406e-05
"66",0.324,10,"strat",0.00593864353880734,0.439223821707682,3.82215375351049e-05
"67",0.324,10,"calib",0.938948512339945,0.000140641323043851,1.67769709898297e-12
"68",0.324,10,"lasso",0.00165273212873491,0.746321336963594,0.000356926090303707
"69",0.324,10,"logit",0.00287171519991893,0.581642069535147,8.7842134742711e-05
"70",0.324,10,"bart",0.0247552312824634,0.163809281559529,1.41398186133943e-06
"71",0.324,11,"none",0.110706142589201,0.0558752180713106,3.73791712501529e-07
"72",0.324,11,"rake",0.00174272377841139,0.730722132365949,0.000220496934784049
"73",0.324,11,"strat",0.00128431598401434,0.747423921950917,0.000227538243141865
"74",0.324,11,"calib",0.17992465742883,0.0122348406407923,5.2801653128957e-09
"75",0.324,11,"lasso",0.0239464957231786,0.261886566182901,1.75113742185698e-05
