"","prop_sampled","sim_num","method","(Intercept)","age"
"1",0.057,1,"none",7.75796885938812e-59,1.40071524031777e-49
"2",0.057,1,"rake",4.40389284739905e-59,1.21960611457588e-56
"3",0.057,1,"strat",9.04704622714098e-58,1.15020746621085e-52
"4",0.057,1,"calib",6.20819433447993e-121,3.08630837965921e-113
"5",0.057,1,"lasso",5.0448741880019e-64,3.09453623428663e-57
"6",0.057,1,"logit",4.13970905696254e-66,1.82156685664887e-63
"7",0.057,1,"bart",7.93211717178342e-58,6.62945521651289e-56
"8",0.057,2,"none",5.63855184961992e-53,1.7486656292936e-44
"9",0.057,2,"rake",2.99623631255294e-57,1.50856204362214e-53
"10",0.057,2,"strat",3.66643618742002e-54,7.2250283562615e-49
"11",0.057,2,"calib",5.28410570148919e-98,5.83344845491601e-86
"12",0.057,2,"lasso",3.1668092503083e-52,1.26438037645169e-45
"13",0.057,2,"logit",3.88836623094782e-94,1.00842428407487e-84
"14",0.057,2,"bart",5.62921909478351e-64,1.67995024305016e-61
"15",0.057,3,"none",2.06544157684294e-54,4.69611087355845e-45
"16",0.057,3,"rake",1.26013591411935e-66,2.63804888018158e-65
"17",0.057,3,"strat",1.22714667007411e-68,8.89613676929595e-65
"18",0.057,3,"calib",2.10667359560676e-82,1.16408417756983e-78
"19",0.057,3,"lasso",2.88416906903494e-50,1.26700939614081e-44
"20",0.057,3,"logit",9.01686592286365e-82,4.82298151525732e-79
"21",0.057,3,"bart",6.69108427444934e-77,2.47026986182387e-73
"22",0.057,4,"none",1.48304017993791e-53,1.47379305168993e-44
"23",0.057,4,"rake",4.07130883655583e-48,8.84367267165352e-46
"24",0.057,4,"strat",3.14493161466424e-48,3.95762516838358e-44
"25",0.057,4,"calib",1.14090308515302e-81,7.94649236283581e-77
"26",0.057,4,"lasso",1.42131911315967e-46,1.31972758874989e-40
"27",0.057,4,"logit",5.65791519629681e-32,8.20145945266072e-29
"28",0.057,4,"bart",3.00769637826868e-54,1.1558767018703e-49
"29",0.057,5,"none",5.39437304114872e-56,1.42168480375755e-46
"30",0.057,5,"rake",1.26698844415366e-74,1.46751896479405e-73
"31",0.057,5,"strat",1.62484822569103e-56,1.85060651172347e-50
"32",0.057,5,"calib",6.72082891238978e-24,4.4307972173785e-24
"33",0.057,5,"lasso",3.23416481753913e-64,7.01070136553293e-58
"34",0.057,5,"logit",6.64889028408484e-78,3.18676118806333e-78
"35",0.057,5,"bart",7.78665349546052e-50,4.45940000153919e-43
"36",0.057,6,"none",1.88541260843512e-50,2.14487490755415e-42
"37",0.057,6,"rake",1.01996537281376e-58,1.27380264077729e-56
"38",0.057,6,"strat",2.57554234272844e-47,1.62820082144534e-42
"39",0.057,6,"calib",3.71396885113096e-62,6.11882663918161e-47
"40",0.057,6,"lasso",4.22851539681607e-56,4.10256658292696e-50
"41",0.057,6,"logit",6.33748148646427e-41,8.45158224642635e-48
"42",0.057,6,"bart",6.40858953226569e-40,9.19873841673919e-35
"43",0.057,7,"none",1.18384537903845e-66,1.50234581368787e-57
"44",0.057,7,"rake",8.51236873049966e-108,3.95724007381564e-110
"45",0.057,7,"strat",2.22314102961551e-125,1.54023034273984e-127
"46",0.057,7,"calib",1.48853186632357e-129,2.50427765166111e-97
"47",0.057,7,"lasso",2.58564264529257e-89,1.85057830779771e-83
"48",0.057,7,"logit",1.22290605987895e-130,2.11718362616087e-133
"49",0.057,7,"bart",2.20623468792609e-53,3.6751568004475e-46
"50",0.057,8,"none",5.51222515390181e-56,7.40203228363277e-46
"51",0.057,8,"rake",1.23468666710228e-97,5.19545342628957e-97
"52",0.057,8,"strat",2.39555348621402e-70,5.40043068951099e-63
"53",0.057,8,"calib",3.23522429396739e-55,1.91009647070506e-48
"54",0.057,8,"lasso",5.55158747012584e-85,3.66949750375316e-76
"55",0.057,8,"logit",6.85574614947087e-85,2.61396010531577e-86
"56",0.057,8,"bart",1.11984500975079e-52,2.51183907433219e-43
"57",0.057,9,"none",4.62217781951209e-52,1.78357453936736e-43
"58",0.057,9,"rake",5.52596855578484e-61,5.42845552662781e-59
"59",0.057,9,"strat",9.11930163525855e-69,2.53112633815303e-65
"60",0.057,9,"calib",3.07685804410933e-47,4.38796419797167e-45
"61",0.057,9,"lasso",2.46541475011871e-52,2.35340181397693e-47
"62",0.057,9,"logit",6.71972351213447e-36,3.61152919138807e-34
"63",0.057,9,"bart",4.63376691288906e-65,8.03509740040138e-62
"64",0.057,10,"none",9.13577198768125e-62,1.75796506468194e-52
"65",0.057,10,"rake",2.54061592961936e-105,7.67936905189205e-106
"66",0.057,10,"strat",5.56736449940878e-67,3.62436029363419e-60
"67",0.057,10,"calib",1.68362260364507e-116,1.7529534826594e-96
"68",0.057,10,"lasso",2.32340440005344e-64,3.75465539672289e-57
"69",0.057,10,"logit",1.95150266316632e-77,6.01453753783918e-77
"70",0.057,10,"bart",7.76890055500107e-102,6.11593706963762e-102
"71",0.057,11,"none",3.31740418206662e-52,3.06885746355545e-43
"72",0.057,11,"rake",5.79245852084314e-61,1.08642151364565e-59
"73",0.057,11,"strat",2.27825727657433e-57,2.66907397040063e-51
"74",0.057,11,"calib",4.77461137217521e-92,1.15768044963652e-89
"75",0.057,11,"lasso",1.25712837616042e-61,1.64256210603548e-55
"76",0.057,11,"logit",2.14769262246774e-60,3.85790221605677e-56
"77",0.057,11,"bart",3.78473803411752e-43,1.28721485754107e-36
"78",0.057,12,"none",1.07274508974659e-54,5.85968792231936e-45
"79",0.057,12,"rake",1.01525191579359e-103,2.8350063194136e-104
"80",0.057,12,"strat",4.84516876416036e-57,3.38478343083817e-50
"81",0.057,12,"calib",1.09089832167645e-137,1.4906360093462e-121
"82",0.057,12,"lasso",1.90805740404015e-59,6.05106362768643e-49
"83",0.057,12,"logit",3.62058979293631e-135,1.37139340183711e-142
"84",0.057,12,"bart",2.15750151864622e-39,1.89832150027832e-32
"85",0.057,13,"none",3.5602847192839e-53,1.55919926738772e-43
"86",0.057,13,"rake",6.71177465310048e-51,7.28971525658303e-48
"87",0.057,13,"strat",9.52768689467527e-58,6.18114727890452e-53
"88",0.057,13,"calib",9.76765710700904e-115,9.68837238610257e-110
"89",0.057,13,"lasso",2.06382348320016e-60,5.97346400204686e-51
"90",0.057,13,"logit",7.31792477257447e-55,8.43071072796213e-51
"91",0.057,13,"bart",2.37532722380674e-58,5.83391945611749e-53
"92",0.057,14,"none",3.5957720721882e-64,4.90031338622973e-54
"93",0.057,14,"rake",4.65169829080172e-78,8.07651061503408e-77
"94",0.057,14,"strat",2.36058313207137e-88,2.86978564722367e-86
"95",0.057,14,"calib",1.07580998715581e-48,3.94934169007537e-46
"96",0.057,14,"lasso",9.85360854065962e-69,7.25958028413042e-64
"97",0.057,14,"logit",3.84182034753151e-104,3.39483311540847e-105
"98",0.057,14,"bart",1.42427218284241e-76,3.18548331960317e-73
"99",0.057,15,"none",6.85509356009644e-58,8.08011916781537e-49
"100",0.057,15,"rake",1.67344331686549e-100,1.75894131524055e-100
"101",0.057,15,"strat",5.50320067405672e-112,2.97131279885e-111
"102",0.057,15,"calib",2.58522196348198e-55,5.08485121185781e-40
"103",0.057,15,"lasso",1.28321528493842e-60,2.0257695971184e-52
"104",0.057,15,"logit",1.23562736790581e-117,1.0674028440331e-117
"105",0.057,15,"bart",1.33882548489976e-112,1.29599492350862e-112
"106",0.057,16,"none",7.65018251834327e-48,7.6933533501354e-40
"107",0.057,16,"rake",3.15181591674433e-77,3.43580210082651e-78
"108",0.057,16,"strat",3.49392015596731e-77,4.1545447349743e-75
"109",0.057,16,"calib",8.57273636191133e-66,1.34748011473968e-57
"110",0.057,16,"lasso",3.55190085331724e-56,9.68998802629681e-49
"111",0.057,16,"logit",5.62720087607364e-180,1.0677248794199e-209
"112",0.057,16,"bart",9.76310221683929e-103,2.14442391556835e-103
"113",0.057,17,"none",1.17945744504636e-58,5.81453284913371e-50
"114",0.057,17,"rake",2.24730861041033e-85,9.18449256408355e-86
"115",0.057,17,"strat",1.43915086606087e-59,6.28587366381657e-55
"116",0.057,17,"calib",6.5660469314411e-28,1.47289741351773e-27
