"var","level","count_ukb_img","dist_ukb_img","count_ukb","dist_ukb","count_census","dist_census","count_hse16","dist_hse16","diff_ukb","diff_census","diff_hse"
"demo_age_bucket","40 to 44",3255,0.111042881997748,51803,0.103082341704143,205389,0.195119471952211,628,0.156452416542103,0.00796054029360548,-0.0840765899544628,-0.0454095345443542
"demo_age_bucket","44 to 49",4524,0.154334254426364,66083,0.131497990209735,205093,0.194838272064691,NA,NA,0.0228362642166292,-0.0405040176383274,NA
"demo_age_bucket","45 to 49",NA,NA,NA,NA,NA,NA,683,0.170154459392128,NA,NA,NA
"demo_age_bucket","50 to 54",5505,0.187800634530754,76337,0.151902336132447,179955,0.170957181617127,724,0.180368709516692,0.0358982983983071,0.0168434529136269,0.0074319250140627
"demo_age_bucket","55 to 59",6590,0.224814928530004,90824,0.180729892147889,158954,0.151006239597504,652,0.16243148978575,0.044085036382115,0.0738086889324996,0.0623834387442539
"demo_age_bucket","60 to 64",6416,0.218878995667451,121484,0.241739960998129,169477,0.161003085598766,662,0.164922770303936,-0.0228609653306782,0.0578759100686856,0.0539562253635151
"demo_age_bucket","65 to 69",3023,0.103128304847679,96009,0.191047478807657,133764,0.1270757491697,665,0.165670154459392,-0.0879191739599786,-0.0239474443220218,-0.0625418496117136
"demo_educ_alevels","0",18802,0.641421894722478,372319,0.740874358260039,NA,NA,NA,NA,-0.0994524635375609,NA,NA
"demo_educ_alevels","1",10511,0.358578105277522,130221,0.259125641739961,NA,NA,NA,NA,0.0994524635375609,NA,NA
"demo_educ_collegeplus","0",16340,0.557431856173029,341362,0.679273291678274,NA,NA,NA,NA,-0.121841435505245,NA,NA
"demo_educ_collegeplus","1",12973,0.442568143826971,161178,0.320726708321726,NA,NA,NA,NA,0.121841435505245,NA,NA
"demo_educ_cses","0",25128,0.857230580288609,438028,0.871628129104151,NA,NA,NA,NA,-0.0143975488155418,NA,NA
"demo_educ_cses","1",4185,0.142769419711391,64512,0.128371870895849,NA,NA,NA,NA,0.0143975488155418,NA,NA
"demo_educ_highest","00-DNK/Refused",NA,NA,NA,NA,125,0.000118749952500019,NA,NA,NA,NA,NA
"demo_educ_highest","01-College plus/profesh",14422,0.492000136458227,186983,0.372075854658336,297687,0.282802536878985,1146,0.285500747384155,0.119924281799891,0.209197599579241,0.206499389074071
"demo_educ_highest","02-A Levels",3768,0.128543649575274,55326,0.110092728937,103118,0.0979620608151757,1012,0.252117588440458,0.0184509206382737,0.0305815887600981,-0.123573938865185
"demo_educ_highest","03-Levels/CSEs",NA,NA,NA,NA,306289,0.290974433610227,NA,NA,NA,NA,NA
"demo_educ_highest","03-O Levels/CSEs",7014,0.23927950056289,132087,0.262838779002666,NA,NA,1047,0.260837070254111,-0.0235592784397763,NA,-0.0215575696912204
"demo_educ_highest","04-Vocational/Other",1615,0.0550950090403575,32730,0.0651291439487404,108036,0.102634158946336,41,0.010214250124564,-0.0100341349083829,-0.0475391499059789,0.0448807589157935
"demo_educ_highest","05-None",475,0.0162044144236346,4645,0.009243045329725,237377,0.225508059796776,751,0.187095166915795,0.00696136909390957,-0.209303645373142,-0.17089075249216
"demo_educ_highest","99-DNK/Refused",2019,0.0688772899396172,90769,0.180620448123532,NA,NA,17,0.00423517688091679,-0.111743158183915,NA,0.0646421130587004
"demo_educ_highest_full","01-College plus",12973,0.442568143826971,161178,0.320726708321726,NA,NA,NA,NA,0.121841435505245,NA,NA
"demo_educ_highest_full","02-A Levels",3768,0.128543649575274,55326,0.110092728937,NA,NA,NA,NA,0.0184509206382737,NA,NA
"demo_educ_highest_full","03-O Levels",5804,0.198000886978474,105200,0.209336570223266,NA,NA,NA,NA,-0.0113356832447921,NA,NA
"demo_educ_highest_full","04-CSEs",1210,0.0412786135844165,26887,0.0535022087794006,NA,NA,NA,NA,-0.0122235951949842,NA,NA
"demo_educ_highest_full","05-Vocational",1615,0.0550950090403575,32730,0.0651291439487404,NA,NA,NA,NA,-0.0100341349083829,NA,NA
"demo_educ_highest_full","06-Other professional",1449,0.0494319926312558,25805,0.05134914633661,NA,NA,NA,NA,-0.00191715370535427,NA,NA
"demo_educ_highest_full","07-None",475,0.0162044144236346,4645,0.009243045329725,NA,NA,NA,NA,0.00696136909390957,NA,NA
"demo_educ_highest_full","99-DNK/Refused",2019,0.0688772899396172,90769,0.180620448123532,NA,NA,NA,NA,-0.111743158183915,NA,NA
"demo_educ_olevels","0",13484,0.460000682291134,278009,0.553207704859315,NA,NA,NA,NA,-0.0932070225681811,NA,NA
"demo_educ_olevels","1",15829,0.539999317708866,224531,0.446792295140685,NA,NA,NA,NA,0.093207022568181,NA,NA
"demo_educ_profesh","0",18637,0.635792992870058,363249,0.722826043698014,NA,NA,NA,NA,-0.0870330508279564,NA,NA
"demo_educ_profesh","1",10676,0.364207007129942,139291,0.277173956301986,NA,NA,NA,NA,0.0870330508279564,NA,NA
"demo_educ_vocational","0",23508,0.801964998464845,411532,0.818903967843356,NA,NA,NA,NA,-0.0169389693785108,NA,NA
"demo_educ_vocational","1",5805,0.198035001535155,91008,0.181096032156644,NA,NA,NA,NA,0.0169389693785108,NA,NA
"demo_empl_disabled",NA,NA,NA,NA,NA,125,0.000118749952500019,NA,NA,NA,NA,NA
"demo_empl_disabled","0",28870,0.984887251390168,482157,0.959440044573566,989007,0.93955627417749,3761,0.936970602889885,0.025447206816602,0.0453309772126779,0.0479166485002828
