"","prop_sampled","sim_num","method","(Intercept)","age","Error age","Error Intercept"
"33",0.02,5,"lasso",1863329.56798684,-5657.74719346299,-341.651075963409,28286.3322631374
"34",0.02,5,"logit",1888012.62978203,-5905.56770643873,-589.471588939152,52969.3940583286
"35",0.02,5,"bart",1892230.59824101,-6044.50047354596,-728.404356046378,57187.3625173003
"36",0.02,6,"none",1923555.5647913,-6549.87666204723,-1233.78054454765,88512.329067593
"37",0.02,6,"rake",1846659.92831975,-5457.92601991384,-141.829902414256,11616.6925960446
"38",0.02,6,"strat",1845604.31324406,-5413.75769962164,-97.6615821220621,10561.0775203491
"39",0.02,6,"calib",1975335.0027045,-7252.01244841064,-1935.91633091106,140291.766980791
"40",0.02,6,"lasso",1899620.87125793,-6259.56158874588,-943.465471246297,64577.6355342241
"41",0.02,6,"logit",1808297.49277759,-4890.36317696739,425.732940532189,-26745.7429461177
"42",0.02,6,"bart",1870398.40090442,-5747.86356643607,-431.767448936489,35355.1651807111
"43",0.02,7,"none",1888011.73920316,-6037.94686791326,-721.850750413676,52968.5034794577
"44",0.02,7,"rake",1764484.35819431,-4189.78369647479,1126.31242102479,-70558.8775293936
"45",0.02,7,"strat",1868145.61879173,-5736.50186918595,-420.40575168637,33102.3830680221
"46",0.02,7,"calib",1849389.29602918,-5477.60497016261,-161.508852663027,14346.0603054718
"47",0.02,7,"lasso",1846022.98216063,-5413.00390528675,-96.907787787175,10979.7464369268
"48",0.02,7,"logit",1914604.19647634,-6808.34433700982,-1492.24821951024,79560.9607526336
"49",0.02,7,"bart",1859167.50308466,-5611.1921909641,-295.09607346452,24124.2673609518
"50",0.02,8,"none",1843949.85983084,-5326.89073560664,-10.7946181070629,8906.62410713616
"51",0.02,8,"rake",1865363.13753987,-5655.89656367149,-339.800446171914,30319.9018161604
"52",0.02,8,"strat",1859144.23442412,-5552.19257279306,-236.096455293478,24100.9987004092
"53",0.02,8,"calib",1878044.72363323,-5837.35980155075,-521.26368405117,43001.4879095224
"54",0.02,8,"lasso",1855158.18148614,-5506.77917552767,-190.68305802809,20114.9457624373
"55",0.02,8,"logit",1914846.92324902,-6360.68761069063,-1044.59149319105,79803.6875253106
"56",0.02,8,"bart",1848442.9810046,-5387.57404030749,-71.4779228079105,13399.7452808924
"57",0.02,9,"none",1941284.50787553,-6771.02689204764,-1454.93077454807,106241.272151823
"58",0.02,9,"rake",1875759.43194741,-5836.7713052584,-520.675187758818,40716.196223702
"59",0.02,9,"strat",1936480.13454241,-6728.47825840086,-1412.38214090128,101436.898818706
"60",0.02,9,"calib",1877910.38023922,-5940.55294129496,-624.456823795385,42867.144515516
"61",0.02,9,"lasso",1927876.12112074,-6585.40360093449,-1269.30748343491,92832.8853970331
"62",0.02,9,"logit",1765245.78043089,-4332.19012867139,983.905988828186,-69797.4552928205
"63",0.02,9,"bart",1955977.54249185,-7008.0838178529,-1691.98770035332,120934.306768148
"64",0.02,10,"none",1885567.82482097,-6005.14565472735,-689.049537227766,50524.589097267
"65",0.02,10,"rake",1885052.51668646,-6090.93338382852,-774.837266328939,50009.2809627492
"66",0.02,10,"strat",1828149.163329,-5174.78397495336,141.312142546217,-6894.07239470887
"67",0.02,10,"calib",1882199.58367083,-6095.91758534007,-779.821467840491,47156.3479471221
"68",0.02,10,"lasso",1841926.62454021,-5360.83015087341,-44.734033373833,6883.3888165066
"69",0.02,10,"logit",1867760.19414715,-5907.78178645705,-591.685668957472,32716.9584234473
"70",0.02,10,"bart",1785354.49965074,-4479.84024473834,836.255872761242,-49688.7360729622
"71",0.02,11,"none",1875587.742045,-5969.0152216062,-652.919104106617,40544.5063212987
"72",0.02,11,"rake",1874028.17732803,-5947.44503850297,-631.348921003388,38984.941604326
"73",0.02,11,"strat",1859625.77525373,-5719.9105511577,-403.814433658118,24582.5395300263
"74",0.02,11,"calib",2309848.62978008,-12033.8268679999,-6717.73075050033,474805.394056373
"75",0.02,11,"lasso",1967328.45883543,-7297.95423970691,-1981.85812220734,132285.223111726
"76",0.02,11,"logit",2003470.52457609,-7891.03491730549,-2574.93879980592,168427.288852385
"77",0.02,11,"bart",1879064.08366465,-5980.0506188257,-663.954501326122,44020.8479409418
"78",0.02,12,"none",1871070.97897639,-5831.87221939125,-515.776101891672,36027.7432526853
"79",0.02,12,"rake",1859314.70032258,-5607.70456279667,-291.608445297094,24271.4645988762
"80",0.02,12,"strat",1814264.63458721,-5003.09348114517,313.002636354407,-20778.6011364949
"81",0.02,12,"calib",1934372.89829212,-6714.54086694878,-1398.44474944921,99329.6625684102
"82",0.02,12,"lasso",1927369.05029379,-6608.98738252819,-1292.89126502861,92325.8145700844
"83",0.02,12,"logit",1829256.62162529,-5193.25038927152,122.84572822806,-5786.61409841804
"84",0.02,12,"bart",1838233.5650568,-5268.17875520036,47.9173622992175,3190.32933309628
"85",0.02,13,"none",1875423.92088015,-5814.12201529674,-498.025897797161,40380.6851564394
"86",0.02,13,"rake",1894090.76190168,-6061.51988358969,-745.423766090115,59047.52617797
"87",0.02,13,"strat",1870677.09733026,-5754.28800218525,-438.191884685672,35633.8616065551
"88",0.02,13,"calib",1933326.4766665,-6560.2863843001,-1244.19026680052,98283.2409427927
"89",0.02,13,"lasso",1863207.25635243,-5636.94015646366,-320.844038964076,28164.0206287287
"90",0.02,13,"logit",1847489.12548832,-5371.14233443908,-55.0462169395023,12445.889764609
"91",0.02,13,"bart",1877828.28989816,-5850.84681372645,-534.750696226874,42785.0541744577
"92",0.02,14,"none",1844992.68683729,-5429.24080118619,-113.144683686613,9949.45111358073
"93",0.02,14,"rake",1850549.04486761,-5550.41843566216,-234.322318162582,15505.8091439053
