"","prop_sampled","sim_num","method","(Intercept)","age","Error age","Error Intercept"
"1",0.1,1,"none",1897623.15742957,-6177.7080954135,-861.611977913921,62579.9217058653
"2",0.1,1,"rake",1837981.42609585,-5315.77645335902,0.319664140561144,2938.19037214317
"3",0.1,1,"strat",1869891.61834714,-5759.03700141816,-442.940883918579,34848.3826234341
"4",0.1,1,"calib",1937035.979122,-6680.05540701586,-1363.95928951628,101992.743398296
"5",0.1,1,"lasso",1841839.8160306,-5370.85092518729,-54.7548076877092,6796.58030688926
"6",0.1,1,"logit",1812267.11175249,-4906.40302362404,409.693093875538,-22776.1239712168
"7",0.1,1,"bart",1905654.29612904,-6293.8234376502,-977.727320150624,70611.0604053361
"8",0.1,2,"none",1888131.38959637,-6069.49310249465,-753.396984995067,53088.1538726632
"9",0.1,2,"rake",1868522.09543775,-5814.9125497393,-498.816432239717,33478.8597140443
"10",0.1,2,"strat",1877694.76857278,-5919.14774908801,-603.051631588435,42651.5328490692
"11",0.1,2,"calib",1928937.52169496,-6755.90506838535,-1439.80895088577,93894.2859712497
"12",0.1,2,"lasso",1879416.02404905,-5944.64342464196,-628.547307142378,44372.7883253403
"13",0.1,2,"logit",1867248.5842122,-5775.66097960909,-459.564862109513,32205.348488492
"14",0.1,2,"bart",1878487.22418196,-5912.77840331775,-596.682285818176,43443.9884582523
"15",0.1,3,"none",1888990.05655677,-6086.71090147081,-770.614783971228,53946.820833066
"16",0.1,3,"rake",1885696.07050907,-6069.55304156384,-753.45692406426,50652.8347853653
"17",0.1,3,"strat",1866629.46977182,-5750.12025554065,-434.024138041075,31586.2340481114
"18",0.1,3,"calib",1912574.93753681,-6490.80760293386,-1174.71148543428,77531.7018131046
"19",0.1,3,"lasso",1878743.20835641,-5941.43620019022,-625.340082690642,43699.972632708
"20",0.1,3,"logit",1864325.46431385,-5770.894078425,-454.797960925421,29282.2285901411
"21",0.1,3,"bart",1841118.37506695,-5326.37083350254,-10.2747160029603,6075.1393432396
"22",0.1,4,"none",1881884.99121443,-5953.87165208641,-637.775534586835,46841.7554907207
"23",0.1,4,"rake",1844956.68263435,-5435.90772540022,-119.811607900643,9913.44691064162
"24",0.1,4,"strat",1863417.68395702,-5676.92412571059,-360.828008211007,28374.4482333125
"25",0.1,4,"calib",1933351.20495543,-6697.89854463517,-1381.80242713559,98307.9692317222
