"","prop_sampled","sim_num","method","(Intercept)","age"
"1",0.02,1,"none",1.76689057278624e-206,5.34421332715356e-31
"2",0.02,1,"rake",5.66352616019375e-237,2.60264338077322e-42
"3",0.02,1,"strat",9.85540290603981e-225,1.07330827772393e-30
"4",0.02,1,"calib",3.22014876423381e-247,2.54572888777264e-54
"5",0.02,1,"lasso",1.07961072754773e-194,3.59583275519008e-29
"6",0.02,1,"logit",1.75434723304236e-233,1.63848074349887e-33
"7",0.02,1,"bart",1.38501968881905e-236,2.8981709734627e-35
"8",0.02,2,"none",5.93826569651721e-191,1.84432516692422e-26
"9",0.02,2,"rake",3.57545241651492e-216,2.86810034782832e-32
"10",0.02,2,"strat",3.00719063231381e-219,5.42991216843889e-34
"11",0.02,2,"calib",1.36417528866265e-255,2.73180030147922e-13
"12",0.02,2,"lasso",4.59301339638323e-188,1.19082404709727e-25
"13",0.02,2,"logit",3.92260597792128e-221,3.14046349583357e-34
"14",0.02,2,"bart",8.89303795259714e-221,1.30111973288417e-31
"15",0.02,3,"none",9.26634799233769e-212,2.74227870008295e-36
"16",0.02,3,"rake",1.87844039795573e-236,2.20317642103286e-40
"17",0.02,3,"strat",5.64690428706934e-216,2.70261958080526e-31
"18",0.02,3,"calib",1.17898638224672e-268,2.76329771312587e-58
"19",0.02,3,"lasso",1.01667777689658e-208,3.24014930943795e-35
"20",0.02,3,"logit",2.04540002845627e-236,1.89946592446564e-44
"21",0.02,3,"bart",2.61369323755764e-231,4.86673205257203e-29
"22",0.02,4,"none",2.28152019366014e-206,7.59281523542728e-30
"23",0.02,4,"rake",3.92846827880265e-240,6.47115598213672e-36
"24",0.02,4,"strat",2.99997194198291e-228,1.39707133094208e-33
"25",0.02,4,"calib",1.74567691807665e-252,5.31478046170785e-48
"26",0.02,4,"lasso",4.07533930028454e-243,8.84746805681453e-40
"27",0.02,4,"logit",3.16924285852602e-222,4.56142921803192e-31
"28",0.02,4,"bart",1.17185213137177e-229,1.17237004949222e-29
"29",0.02,5,"none",4.63891695638699e-189,8.20902628921595e-26
"30",0.02,5,"rake",1.39215850306157e-228,9.39288820323179e-36
"31",0.02,5,"strat",1.85505428679466e-220,2.9047713483242e-29
"32",0.02,5,"calib",1.26136134531995e-234,6.18390580552449e-37
"33",0.02,5,"lasso",2.08715146545559e-185,1.308550758748e-23
"34",0.02,5,"logit",5.51350863289144e-244,4.76850328420816e-44
"35",0.02,5,"bart",6.21325471682863e-233,3.07025669305171e-38
"36",0.02,6,"none",4.76901854428818e-189,1.71633884796475e-30
"37",0.02,6,"rake",3.27532228129236e-205,7.19125393099815e-27
"38",0.02,6,"strat",7.30277274249981e-208,6.16786173639617e-28
"39",0.02,6,"calib",1.825587790064e-186,1.42529645212785e-32
"40",0.02,6,"lasso",1.94064351121018e-217,5.26436654886039e-38
"41",0.02,6,"logit",7.86575377265183e-303,6.58369194981632e-50
"42",0.02,6,"bart",2.13621114827539e-228,3.04889650620243e-34
"43",0.02,7,"none",1.95633175446409e-210,1.09498158045123e-33
"44",0.02,7,"rake",7.9491337068477e-223,4.1254486371617e-22
"45",0.02,7,"strat",2.16200815587738e-244,4.08377424002541e-40
"46",0.02,7,"calib",1.7617739586114e-275,4.31192865288865e-52
"47",0.02,7,"lasso",2.71695266058199e-201,3.15704299950807e-27
"48",0.02,7,"logit",2.8513352454037e-250,1.93814369703986e-51
"49",0.02,7,"bart",1.38883497318585e-241,4.73811940345784e-38
"50",0.02,8,"none",4.8175976366784e-205,3.36533602541093e-27
"51",0.02,8,"rake",1.56258021577444e-239,2.20137972946499e-38
"52",0.02,8,"strat",2.29637598365294e-237,4.49901723217047e-36
"53",0.02,8,"calib",2.23582618494232e-234,8.03010822028007e-39
"54",0.02,8,"lasso",5.66674791939138e-219,3.53340265972671e-32
"55",0.02,8,"logit",1.55008308154942e-235,7.17354029709334e-43
"56",0.02,8,"bart",5.37738214686746e-232,6.47198547083024e-33
"57",0.02,9,"none",1.92979321471734e-209,4.85429272881475e-38
"58",0.02,9,"rake",5.54283752377176e-218,4.28074132668399e-33
"59",0.02,9,"strat",1.80790318603921e-219,2.3127169731064e-40
"60",0.02,9,"calib",5.28933634714914e-207,1.21815836496388e-31
"61",0.02,9,"lasso",1.95692605940972e-202,1.67219071828887e-34
"62",0.02,9,"logit",6.83936908854735e-184,3.73685770376884e-15
"63",0.02,9,"bart",1.82955481062377e-231,1.1560268241393e-45
"64",0.02,10,"none",4.38574901412985e-203,4.87440677643311e-31
"65",0.02,10,"rake",7.51993860542294e-220,1.04341509082151e-35
"66",0.02,10,"strat",8.92174018797517e-214,2.10962518330373e-26
"67",0.02,10,"calib",1.63967724067039e-234,4.89881585160277e-41
"68",0.02,10,"lasso",7.16325257539781e-204,8.57909772044364e-26
"69",0.02,10,"logit",2.82571020688765e-204,1.98188487717987e-29
"70",0.02,10,"bart",4.93633814817866e-224,4.01387197589527e-24
"71",0.02,11,"none",7.20361599368502e-192,3.29080862129978e-28
"72",0.02,11,"rake",3.63503828568578e-214,1.00399391766915e-32
"73",0.02,11,"strat",3.16091345560791e-231,3.55646301795009e-35
"74",0.02,11,"calib",3.00121559306356e-250,1.57201864110195e-93
"75",0.02,11,"lasso",4.24756853181635e-200,9.32540420357455e-37
"76",0.02,11,"logit",2.05526868745797e-164,8.41743429436488e-27
"77",0.02,11,"bart",5.30191471989542e-208,6.01296005644871e-31
"78",0.02,12,"none",3.57309814723058e-192,6.0403329623793e-27
"79",0.02,12,"rake",3.79676239456289e-212,3.14952223239634e-29
