"","prop_sampled","sim_num","method","(Intercept)","age"
"1",0.075,1,"none",0,4.86963335563761e-111
"2",0.075,1,"rake",0,4.68838027840641e-124
"3",0.075,1,"strat",0,1.10401432533657e-135
"4",0.075,1,"calib",0,1.15788873940675e-126
"5",0.075,1,"lasso",0,8.25138594850769e-113
"6",0.075,1,"logit",0,3.47067742806135e-58
"7",0.075,1,"bart",0,3.80311836846383e-150
"8",0.075,2,"none",0,5.38513065562225e-113
"9",0.075,2,"rake",0,1.56805822174145e-135
"10",0.075,2,"strat",0,9.10138238033356e-136
"11",0.075,2,"calib",0,5.87482366709117e-160
"12",0.075,2,"lasso",0,4.0036469183595e-114
"13",0.075,2,"logit",0,1.95602448571883e-123
"14",0.075,2,"bart",0,2.93736746643407e-138
"15",0.075,3,"none",0,1.54155025662115e-110
"16",0.075,3,"rake",0,4.63454213609112e-133
"17",0.075,3,"strat",0,4.00012660632821e-145
"18",0.075,3,"calib",0,5.10845152096724e-128
"19",0.075,3,"lasso",0,4.65185795234891e-112
"20",0.075,3,"logit",0,3.76925803149303e-114
"21",0.075,3,"bart",0,6.59355325618592e-114
"22",0.075,4,"none",0,3.98392392088237e-103
"23",0.075,4,"rake",0,8.20481378448627e-141
"24",0.075,4,"strat",0,5.64779159013031e-134
"25",0.075,4,"calib",0,4.39776086597944e-142
"26",0.075,4,"lasso",0,3.15188885281246e-102
"27",0.075,4,"logit",0,1.8509641289177e-133
"28",0.075,4,"bart",0,4.53536622221901e-120
"29",0.075,5,"none",0,8.15167668662885e-115
"30",0.075,5,"rake",0,2.46551632295313e-125
"31",0.075,5,"strat",0,1.21449133141004e-122
"32",0.075,5,"calib",0,4.17086475060695e-116
"33",0.075,5,"lasso",0,1.07882828742989e-109
"34",0.075,5,"logit",0,4.07214859512179e-113
"35",0.075,5,"bart",0,5.41581929492238e-117
"36",0.075,6,"none",0,9.33874948356699e-103
"37",0.075,6,"rake",0,5.87247003468398e-87
"38",0.075,6,"strat",0,1.59881509440987e-102
"39",0.075,6,"calib",0,3.39944315151461e-113
"40",0.075,6,"lasso",0,3.11393921159256e-156
"41",0.075,6,"logit",0,2.04228301149468e-64
"42",0.075,6,"bart",0,1.36632712997637e-102
"43",0.075,7,"none",0,4.25141516478026e-110
"44",0.075,7,"rake",0,1.28507934735852e-120
"45",0.075,7,"strat",0,4.27509414581332e-149
"46",0.075,7,"calib",0,2.07032098644178e-117
"47",0.075,7,"lasso",0,4.35113798806848e-116
"48",0.075,7,"logit",0,5.33815251838155e-133
"49",0.075,7,"bart",0,1.49266690021563e-162
"50",0.075,8,"none",0,1.1531692571499e-104
"51",0.075,8,"rake",0,6.68651976902885e-114
"52",0.075,8,"strat",0,1.49030829868063e-120
"53",0.075,8,"calib",0,1.48606249824552e-84
"54",0.075,8,"lasso",0,5.84351898185262e-97
"55",0.075,8,"logit",0,6.22035507687103e-105
"56",0.075,8,"bart",0,1.55288438712286e-156
"57",0.075,9,"none",0,5.81013582732801e-113
"58",0.075,9,"rake",0,5.55438984949253e-153
"59",0.075,9,"strat",0,2.52840513160027e-142
"60",0.075,9,"calib",0,2.46553272214241e-60
"61",0.075,9,"lasso",0,2.23898413446399e-110
"62",0.075,9,"logit",0,1.21154446554386e-189
"63",0.075,9,"bart",0,4.98724329355972e-117
"64",0.075,10,"none",0,1.21190218104184e-122
"65",0.075,10,"rake",0,3.10389224216026e-134
"66",0.075,10,"strat",0,2.61993299009052e-157
"67",0.075,10,"calib",0,6.78385440967708e-116
"68",0.075,10,"lasso",0,5.08680611347185e-120
"69",0.075,10,"logit",0,4.43034839075087e-132
"70",0.075,10,"bart",0,1.46371542044497e-171
"71",0.075,11,"none",0,4.41863770991417e-102
"72",0.075,11,"rake",0,2.95388847546216e-124
"73",0.075,11,"strat",0,9.00677546945041e-117
"74",0.075,11,"calib",0,4.20312164360792e-124
"75",0.075,11,"lasso",0,2.25841325830492e-115
"76",0.075,11,"logit",0,4.93834283562118e-130
"77",0.075,11,"bart",0,7.32533694658221e-141
"78",0.075,12,"none",0,2.67715307661203e-110
"79",0.075,12,"rake",0,1.76083834413342e-124
"80",0.075,12,"strat",0,7.34762035601207e-137
"81",0.075,12,"calib",0,4.72202555625253e-118
"82",0.075,12,"lasso",0,1.94773101526054e-107
"83",0.075,12,"logit",0,1.99571273552004e-132
"84",0.075,12,"bart",0,7.55723644031782e-155
"85",0.075,13,"none",0,1.99249719300399e-112
"86",0.075,13,"rake",0,1.67684869924728e-100
"87",0.075,13,"strat",0,4.89619323823859e-120
"88",0.075,13,"calib",0,5.72925695510605e-141
"89",0.075,13,"lasso",0,1.56823169409548e-133
"90",0.075,13,"logit",0,1.97904068873867e-81
"91",0.075,13,"bart",0,1.94809160549047e-111
"92",0.075,14,"none",0,1.61665715306031e-106
"93",0.075,14,"rake",0,3.79591671490828e-114
"94",0.075,14,"strat",0,1.10548828919799e-127
"95",0.075,14,"calib",0,3.08049096189801e-114
"96",0.075,14,"lasso",0,1.17630179615367e-115
"97",0.075,14,"logit",0,1.90575134800346e-132
"98",0.075,14,"bart",0,7.48974539145512e-142
"99",0.075,15,"none",0,2.43416080666677e-125
"100",0.075,15,"rake",0,2.59975418084792e-149
"101",0.075,15,"strat",0,4.77704666359825e-160
"102",0.075,15,"calib",0,5.71723000198767e-194
"103",0.075,15,"lasso",0,1.04316567867552e-144
"104",0.075,15,"logit",0,4.3042896088783e-197
"105",0.075,15,"bart",0,3.33269086434599e-177
"106",0.075,16,"none",0,8.72733854929598e-114
"107",0.075,16,"rake",0,7.96819173889896e-159
"108",0.075,16,"strat",0,5.17392898843956e-149
"109",0.075,16,"calib",0,2.68797877643118e-111
"110",0.075,16,"lasso",0,4.55842904506233e-127
"111",0.075,16,"logit",0,4.32628287861342e-140
"112",0.075,16,"bart",0,1.93079389313799e-145
"113",0.075,17,"none",0,1.63674023748394e-109
"114",0.075,17,"rake",0,2.24114668876211e-125
"115",0.075,17,"strat",0,5.19911193391307e-137
"116",0.075,17,"calib",0,2.78832616204638e-152
"117",0.075,17,"lasso",0,1.49695507450894e-144
"118",0.075,17,"logit",0,6.41539332999797e-113
"119",0.075,17,"bart",0,1.59111394015366e-118
"120",0.075,18,"none",0,2.98912194631421e-107
"121",0.075,18,"rake",0,6.08643884159675e-113
"122",0.075,18,"strat",0,3.81068006028206e-133
"123",0.075,18,"calib",0,3.30088825327747e-135
"124",0.075,18,"lasso",0,1.71418548080146e-126
"125",0.075,18,"logit",0,2.73923328176245e-94
"126",0.075,18,"bart",0,1.16062644260753e-110
"127",0.075,19,"none",0,2.28304268815499e-111
"128",0.075,19,"rake",0,2.92695449081815e-145
"129",0.075,19,"strat",0,1.68341603567944e-155
"130",0.075,19,"calib",0,5.78611404231761e-124
"131",0.075,19,"lasso",0,5.85294878424205e-86
"132",0.075,19,"logit",0,2.777613925097e-112
"133",0.075,19,"bart",0,1.1538020029282e-151
"134",0.075,20,"none",0,2.49403888220715e-120
"135",0.075,20,"rake",0,1.35971179899972e-146
"136",0.075,20,"strat",0,2.89161346263163e-146
"137",0.075,20,"calib",0,1.32391315191376e-85
"138",0.075,20,"lasso",0,2.71011321462475e-109
"139",0.075,20,"logit",0,1.042864316834e-141
"140",0.075,20,"bart",0,1.69545352224615e-131
"141",0.075,21,"none",0,5.15392527274085e-111
"142",0.075,21,"rake",0,7.85468481898132e-131
"143",0.075,21,"strat",0,9.8514339307338e-139
"144",0.075,21,"calib",0,1.11839680725555e-105
"145",0.075,21,"lasso",0,2.90546159902683e-106
"146",0.075,21,"logit",0,1.18796152088223e-127
"147",0.075,21,"bart",0,1.01596820567927e-150
"148",0.075,22,"none",0,2.48947080729989e-118
"149",0.075,22,"rake",0,8.53306313318949e-144
"150",0.075,22,"strat",0,1.26435293631695e-144
"151",0.075,22,"calib",0,5.16290660639868e-155
"152",0.075,22,"lasso",0,1.7572190549661e-136
"153",0.075,22,"logit",0,6.24798492773739e-82
"154",0.075,22,"bart",0,9.5028039693311e-155
"155",0.075,23,"none",0,3.83130007236021e-115
"156",0.075,23,"rake",0,3.07793989276487e-142
"157",0.075,23,"strat",0,2.81670977325713e-155
"158",0.075,23,"calib",0,3.12157686748252e-127
"159",0.075,23,"lasso",0,3.44884488530607e-123
"160",0.075,23,"logit",0,1.44046145287924e-122
"161",0.075,23,"bart",0,8.71367014280455e-145
"162",0.075,24,"none",0,3.23773023876893e-114
"163",0.075,24,"rake",0,6.42337519260521e-143
"164",0.075,24,"strat",0,4.72360509773196e-143
"165",0.075,24,"calib",0,2.65173230502195e-105
"166",0.075,24,"lasso",0,5.04382520754276e-119
"167",0.075,24,"logit",0,4.05572536580634e-225
"168",0.075,24,"bart",0,1.86596238924114e-160
"169",0.075,25,"none",0,3.07863377481508e-112
"170",0.075,25,"rake",0,3.62079314143112e-133
"171",0.075,25,"strat",0,2.69470529401557e-128
"172",0.075,25,"calib",0,1.64695043159352e-116
"173",0.075,25,"lasso",0,3.46739236600734e-124
"174",0.075,25,"logit",0,1.5146012534216e-129
"175",0.075,25,"bart",0,1.1010105335846e-162
"176",0.075,26,"none",0,9.4000833741846e-107
"177",0.075,26,"rake",0,4.94663052301994e-145
"178",0.075,26,"strat",0,4.88349465984455e-163
"179",0.075,26,"calib",0,7.59628414955955e-215
"180",0.075,26,"lasso",0,3.88390444890344e-114
"181",0.075,26,"logit",0,2.64267372879223e-148
"182",0.075,26,"bart",0,1.37247624922036e-133
"183",0.075,27,"none",0,6.0274964560656e-93
"184",0.075,27,"rake",0,1.30288971366104e-104
"185",0.075,27,"strat",0,1.04783935619244e-110
"186",0.075,27,"calib",0,2.5073115007649e-96
"187",0.075,27,"lasso",0,1.83788627980338e-87
"188",0.075,27,"logit",0,1.01843012793498e-102
"189",0.075,27,"bart",0,5.48032862772032e-111
"190",0.075,28,"none",0,2.44813020661947e-108
"191",0.075,28,"rake",0,5.8993134786198e-120
"192",0.075,28,"strat",0,9.45303053929071e-130
"193",0.075,28,"calib",0,3.89203756783686e-151
"194",0.075,28,"lasso",0,1.78749616876524e-107
"195",0.075,28,"logit",0,1.33981891162992e-55
"196",0.075,28,"bart",0,2.12148566748937e-130
"197",0.075,29,"none",0,1.02160082013238e-108
"198",0.075,29,"rake",0,5.87636262024303e-108
"199",0.075,29,"strat",0,4.73943936873903e-125
"200",0.075,29,"calib",0,8.52603996185809e-154
"201",0.075,29,"lasso",0,9.68323108242925e-138
"202",0.075,29,"logit",0,9.4157294142796e-124
"203",0.075,29,"bart",0,2.93449079929047e-133
"204",0.075,30,"none",0,1.68340721575769e-110
"205",0.075,30,"rake",0,4.47874419343709e-132
"206",0.075,30,"strat",0,1.40836470109029e-136
"207",0.075,30,"calib",0,2.12366735500465e-159
"208",0.075,30,"lasso",0,1.45864133013968e-121
"209",0.075,30,"logit",0,1.23644738473156e-84
"210",0.075,30,"bart",0,2.84694275465756e-163
"211",0.075,31,"none",0,3.40312131774673e-100
"212",0.075,31,"rake",0,1.44469320821151e-117
"213",0.075,31,"strat",0,4.05685302867699e-122
"214",0.075,31,"calib",0,7.93859532319706e-130
"215",0.075,31,"lasso",0,2.32415510126499e-126
"216",0.075,31,"logit",0,1.23060780753161e-109
"217",0.075,31,"bart",0,7.13371646565195e-121
"218",0.075,32,"none",0,4.1261453558519e-111
"219",0.075,32,"rake",0,5.75036977716382e-147
"220",0.075,32,"strat",0,5.09060953670499e-129
"221",0.075,32,"calib",0,2.68986415136102e-125
"222",0.075,32,"lasso",0,3.71007137551204e-108
"223",0.075,32,"logit",0,5.35848552740807e-135
"224",0.075,32,"bart",0,3.72081974847579e-154
"225",0.075,33,"none",0,5.30793127803916e-108
"226",0.075,33,"rake",0,1.7009964864183e-128
"227",0.075,33,"strat",0,3.76068606907671e-147
