"","prop_sampled","sim_num","method","(Intercept)","age"
"1",0.04,1,"none",0,9.58095995798718e-43
"2",0.04,1,"rake",0,1.4930115811593e-47
"3",0.04,1,"strat",0,2.4659092554676e-51
"4",0.04,1,"calib",0,3.82684027963128e-115
"5",0.04,1,"lasso",0,1.94424939226255e-54
"6",0.04,1,"logit",0,9.74475228957068e-48
"7",0.04,1,"bart",0,7.16418564093829e-47
"8",0.04,2,"none",0,3.56893569239898e-58
"9",0.04,2,"rake",0,3.5005133653591e-66
"10",0.04,2,"strat",0,3.5278393813768e-71
"11",0.04,2,"calib",0,5.75582810822918e-61
"12",0.04,2,"lasso",0,5.01414380082276e-64
"13",0.04,2,"logit",0,7.01414508179618e-69
"14",0.04,2,"bart",0,2.26058647591566e-83
"15",0.04,3,"none",0,2.8663585955078e-61
"16",0.04,3,"rake",0,1.08110958822106e-82
"17",0.04,3,"strat",0,8.58090713420738e-81
"18",0.04,3,"calib",0,3.12524491607369e-98
"19",0.04,3,"lasso",0,1.15253342727845e-59
"20",0.04,3,"logit",0,1.90074836982647e-75
"21",0.04,3,"bart",0,1.09870043735514e-95
"22",0.04,4,"none",0,4.47420094617899e-57
"23",0.04,4,"rake",0,3.6931594021964e-82
"24",0.04,4,"strat",0,6.44636549932964e-79
"25",0.04,4,"calib",0,4.16723432036744e-52
"26",0.04,4,"lasso",0,6.50869395177307e-56
"27",0.04,4,"logit",0,1.15517874743969e-50
"28",0.04,4,"bart",0,9.77046433950015e-66
"29",0.04,5,"none",0,1.45225366946287e-51
"30",0.04,5,"rake",0,8.03401037081677e-55
"31",0.04,5,"strat",0,1.26366503663317e-54
"32",0.04,5,"calib",0,4.18021808277986e-59
"33",0.04,5,"lasso",0,3.68164937590275e-66
"34",0.04,5,"logit",0,4.94534754746365e-58
"35",0.04,5,"bart",0,3.84828212702356e-59
"36",0.04,6,"none",0,3.69850610189774e-55
"37",0.04,6,"rake",0,1.04181858844283e-68
"38",0.04,6,"strat",0,3.77796834963936e-68
"39",0.04,6,"calib",0,6.78203366448005e-33
"40",0.04,6,"lasso",0,3.33489408976881e-54
"41",0.04,6,"logit",0,8.11810225686143e-65
"42",0.04,6,"bart",0,8.6437384932262e-68
"43",0.04,7,"none",0,9.50641861217869e-57
"44",0.04,7,"rake",0,6.95322117719491e-73
"45",0.04,7,"strat",0,2.29803340605059e-64
"46",0.04,7,"calib",0,9.90917509882739e-113
"47",0.04,7,"lasso",0,8.94434985927634e-45
"48",0.04,7,"logit",0,4.0359365547327e-57
"49",0.04,7,"bart",0,8.39266912211932e-70
"50",0.04,8,"none",0,6.07691100409045e-58
"51",0.04,8,"rake",0,5.19212109312231e-71
"52",0.04,8,"strat",0,1.35877930528651e-67
"53",0.04,8,"calib",0,3.18604075825762e-43
"54",0.04,8,"lasso",0,2.88640497260713e-67
"55",0.04,8,"logit",0,5.52622762642549e-66
"56",0.04,8,"bart",0,5.95069826433245e-63
"57",0.04,9,"none",0,3.95426001465559e-63
"58",0.04,9,"rake",0,1.90949938938745e-66
"59",0.04,9,"strat",0,1.15953508345192e-77
"60",0.04,9,"calib",0,9.62735527657246e-40
"61",0.04,9,"lasso",0,7.44242202125597e-75
"62",0.04,9,"logit",0,7.00162631154982e-79
"63",0.04,9,"bart",0,1.25094494510893e-70
"64",0.04,10,"none",0,1.8904996327616e-62
"65",0.04,10,"rake",0,2.01804404519317e-68
"66",0.04,10,"strat",0,2.03684779810052e-70
"67",0.04,10,"calib",0,9.08330492848213e-67
"68",0.04,10,"lasso",0,4.73305621570886e-72
"69",0.04,10,"logit",0,2.57462960129209e-52
"70",0.04,10,"bart",0,4.95190923334774e-76
"71",0.04,11,"none",0,4.59444681579862e-53
"72",0.04,11,"rake",0,2.31326762556247e-64
"73",0.04,11,"strat",0,2.25991868988075e-71
"74",0.04,11,"calib",0,6.01632217507928e-41
"75",0.04,11,"lasso",0,2.12394651698049e-64
"76",0.04,11,"logit",0,6.99361044886182e-66
"77",0.04,11,"bart",0,3.78540538384882e-75
"78",0.04,12,"none",0,3.68211993298012e-60
"79",0.04,12,"rake",0,2.24577669092362e-74
"80",0.04,12,"strat",0,2.86956780719454e-75
"81",0.04,12,"calib",0,4.85741856902501e-79
"82",0.04,12,"lasso",0,2.58636227989607e-68
"83",0.04,12,"logit",0,1.26590140854978e-66
"84",0.04,12,"bart",0,5.80990766756837e-73
"85",0.04,13,"none",0,9.59362549323371e-49
"86",0.04,13,"rake",0,5.34972789852603e-84
