"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"1",0.088,1,"none",3.16995170047805e-97,1.98129095065108e-64
"2",0.088,1,"rake",9.16011244666298e-102,6.98459445429738e-99
"3",0.088,1,"strat",3.95257850212183e-169,1.24660432231718e-163
"4",0.088,1,"calib",2.7250760821256e-144,1.17498719034405e-113
"5",0.088,1,"lasso",1.70132820531967e-97,1.84057653459564e-86
"6",0.088,1,"logit",3.3442687068251e-109,1.0255614544414e-94
"7",0.088,1,"bart",5.38920989081917e-183,9.63891737913324e-162
"8",0.088,2,"none",4.64156123588707e-90,3.83254502611564e-64
"9",0.088,2,"rake",1.97302954887081e-29,8.16314965689665e-26
"10",0.088,2,"strat",6.6766095030931e-89,1.03662103490305e-77
"11",0.088,2,"calib",3.54698616467527e-118,6.1610644213463e-99
"12",0.088,2,"lasso",7.00139442416431e-105,3.58501044619646e-106
"13",0.088,2,"logit",8.13225858961455e-109,6.68764351628017e-97
"14",0.088,2,"bart",3.04426282969817e-161,1.60365113101585e-142
"15",0.088,3,"none",2.47048833133466e-92,1.06407202574171e-61
"16",0.088,3,"rake",3.5928496178536e-63,1.80403578667806e-59
"17",0.088,3,"strat",4.12955564791994e-186,1.19844868377751e-188
"18",0.088,3,"calib",3.69429795204333e-98,1.56103523287371e-76
"19",0.088,3,"lasso",3.38068910585375e-121,1.55065400812212e-115
"20",0.088,3,"logit",1.70371232607937e-117,4.75672977790038e-104
"21",0.088,3,"bart",2.50797460626631e-47,1.59633845252105e-43
"22",0.088,4,"none",7.80382176991634e-104,6.44787265183102e-73
"23",0.088,4,"rake",3.84556217573978e-64,1.38375497695963e-66
"24",0.088,4,"strat",5.10202988117549e-158,1.90308086501871e-162
"25",0.088,4,"calib",7.09743833948329e-98,2.01549178788152e-87
"26",0.088,4,"lasso",5.91173146962139e-87,2.58499490977827e-89
"27",0.088,4,"logit",3.26960526886275e-114,1.1524081590817e-101
"28",0.088,4,"bart",6.84856294576682e-87,4.07425655559115e-81
"29",0.088,5,"none",5.96677692686893e-96,3.13803225248644e-66
"30",0.088,5,"rake",3.77920178057022e-60,7.04233904017746e-56
"31",0.088,5,"strat",1.4561692871587e-169,7.97946834879347e-173
"32",0.088,5,"calib",7.18345780883122e-122,5.77690940107858e-103
"33",0.088,5,"lasso",3.34215164418137e-173,6.01638419391195e-186
"34",0.088,5,"logit",9.0433649840062e-136,1.86423153651501e-130
"35",0.088,5,"bart",6.33186834049079e-214,7.40355106178408e-212
"36",0.088,6,"none",1.04789227820949e-85,6.91441926691218e-57
"37",0.088,6,"rake",4.8504935898002e-84,2.07488227755931e-83
"38",0.088,6,"strat",1.17487843771087e-130,2.358258497416e-125
"39",0.088,6,"calib",6.76523740373189e-105,7.47083552846289e-80
"40",0.088,6,"lasso",6.86165140700873e-83,7.93451915505483e-67
"41",0.088,6,"logit",3.78182363249433e-87,7.56426795354323e-74
"42",0.088,6,"bart",6.37883450841065e-72,4.64607043041672e-43
"43",0.088,7,"none",1.64351439989196e-84,2.26556965776906e-54
"44",0.088,7,"rake",4.07755898234359e-74,1.12026977645026e-64
"45",0.088,7,"strat",3.62015502106248e-157,1.02502193829196e-157
"46",0.088,7,"calib",7.16933662924124e-108,6.84781988568158e-85
"47",0.088,7,"lasso",1.33134593064443e-106,8.4055285214896e-98
"48",0.088,7,"logit",7.85708940804651e-104,8.89861650859042e-90
"49",0.088,7,"bart",2.77677384695269e-40,1.20363468874269e-36
"50",0.088,8,"none",1.07865174943466e-82,9.06303180394529e-54
"51",0.088,8,"rake",3.28090849108545e-67,1.94523002361741e-61
"52",0.088,8,"strat",3.40232120751707e-91,9.49020167106159e-70
"53",0.088,8,"calib",6.93311758772853e-72,4.62884443761248e-55
"54",0.088,8,"lasso",6.18203415062937e-101,1.98801764451619e-95
"55",0.088,8,"logit",9.9239477609198e-111,2.37136774694479e-95
"56",0.088,8,"bart",2.98077741179509e-79,1.02988215141982e-60
"57",0.088,9,"none",6.03036164724642e-85,6.9476611433684e-56
"58",0.088,9,"rake",1.76311974941937e-75,1.62092666089597e-60
"59",0.088,9,"strat",2.31291322715281e-143,3.69113718218217e-142
"60",0.088,9,"calib",4.92575690106282e-100,5.24965903340326e-74
"61",0.088,9,"lasso",5.19906683758232e-37,7.08863226573642e-32
"62",0.088,9,"logit",1.01962608077332e-84,3.31460402262087e-71
"63",0.088,9,"bart",5.46482371393716e-145,3.85452929736826e-115
"64",0.088,10,"none",1.61981513123953e-77,1.26648687170082e-50
"65",0.088,10,"rake",1.49679040858126e-44,9.26553394927093e-44
"66",0.088,10,"strat",6.09151148579096e-122,6.9508737467175e-116
"67",0.088,10,"calib",2.77079499042208e-42,5.38659211267563e-31
"68",0.088,10,"lasso",6.37826905133854e-89,9.02644384073585e-87
"69",0.088,10,"logit",6.84039211600329e-104,2.06867983924e-89
"70",0.088,10,"bart",5.69166834118638e-61,2.09781137471609e-35
"71",0.088,11,"none",6.0474843633463e-75,7.75369893930082e-48
"72",0.088,11,"rake",8.02081413927353e-32,3.7182189997256e-27
"73",0.088,11,"strat",1.40418255101263e-85,1.5164420161941e-73
"74",0.088,11,"calib",2.74320962646198e-19,6.91891222710018e-11
"75",0.088,11,"lasso",1.26053542760568e-59,2.68202014715619e-49
"76",0.088,11,"logit",8.50258979629778e-72,3.22401011879857e-57
"77",0.088,11,"bart",4.44770976038995e-99,9.97055432047146e-74
"78",0.088,12,"none",2.1911415580667e-75,2.96743094346525e-48
"79",0.088,12,"rake",4.12401444693374e-56,3.2761555469589e-52
"80",0.088,12,"strat",4.82778736619849e-66,8.48935954225347e-49
"81",0.088,12,"calib",4.40928782222257e-118,1.38132377489719e-92
"82",0.088,12,"lasso",8.31331727444959e-71,8.4800623375474e-61
"83",0.088,12,"logit",6.13314045561816e-74,1.24180266254808e-58
"84",0.088,12,"bart",3.54229049422607e-118,6.63090535046048e-72
"85",0.088,13,"none",8.50793125231615e-81,9.00437425718146e-53
"86",0.088,13,"rake",1.42654304806502e-59,2.1897947047615e-51
"87",0.088,13,"strat",2.22632207330432e-124,6.47848801041928e-115
"88",0.088,13,"calib",6.38883523628211e-75,1.74890086529445e-50
"89",0.088,13,"lasso",2.54675099191781e-57,2.60860160953232e-42
"90",0.088,13,"logit",1.05957240636668e-70,9.32282573406162e-56
"91",0.088,13,"bart",4.30396497365255e-130,1.6295497925575e-106
"92",0.088,14,"none",9.25567539307227e-78,2.06244208508239e-51
"93",0.088,14,"rake",9.73085527795023e-85,2.06486930247078e-78
"94",0.088,14,"strat",2.70342369162409e-70,1.34454353754945e-55
"95",0.088,14,"calib",1.78615611150412e-66,2.98309032102901e-44
"96",0.088,14,"lasso",1.18414752014449e-108,1.96049455375937e-102
"97",0.088,14,"logit",2.77240774437367e-82,7.07314934666787e-72
"98",0.088,14,"bart",7.14712621279218e-95,1.94045430605219e-70
"99",0.088,15,"none",1.79268782509776e-86,4.24086342818092e-57
"100",0.088,15,"rake",4.89377790818178e-91,2.64910413000803e-89
"101",0.088,15,"strat",9.25842505630141e-178,4.56363477443164e-185
"102",0.088,15,"calib",9.0469973698273e-167,8.24520452163033e-145
"103",0.088,15,"lasso",4.28241836091227e-110,2.92136384768479e-111
"104",0.088,15,"logit",3.08385171143084e-119,1.15739465294421e-108
"105",0.088,15,"bart",1.22501505875793e-62,5.54789552860485e-36
"106",0.088,16,"none",7.663533258162e-73,5.0797588050109e-47
"107",0.088,16,"rake",8.29593927782284e-48,9.03214466106511e-46
"108",0.088,16,"strat",4.70030510074817e-95,2.08996645660106e-84
"109",0.088,16,"calib",1.85202851204938e-108,6.20160403397637e-90
"110",0.088,16,"lasso",2.37670288138905e-67,8.83136989168131e-64
"111",0.088,16,"logit",1.6225033515056e-67,4.45370227398135e-54
"112",0.088,16,"bart",1.16287358565388e-189,5.11962003323343e-164
"113",0.088,17,"none",9.14628919533896e-93,1.77236834325983e-63
"114",0.088,17,"rake",1.51817885831752e-67,1.90287943998224e-66
"115",0.088,17,"strat",1.09058640868418e-107,1.05327671575698e-99
"116",0.088,17,"calib",8.26037130870904e-119,2.0371029179965e-99
"117",0.088,17,"lasso",5.93332689141575e-100,1.09957351945241e-95
"118",0.088,17,"logit",8.83752500265299e-89,7.31288014555094e-76
"119",0.088,17,"bart",4.51592052003034e-135,8.19296312252226e-116
"120",0.088,18,"none",2.45074922770942e-76,1.21852982083548e-49
"121",0.088,18,"rake",3.60188429972948e-62,2.31306983251662e-54
"122",0.088,18,"strat",2.23324754297303e-111,2.75090078147557e-100
"123",0.088,18,"calib",1.71856209787754e-90,1.34930687151663e-70
"124",0.088,18,"lasso",4.8509789167992e-68,5.37948656851044e-55
"125",0.088,18,"logit",2.84377838357727e-77,3.68820558002626e-60
"126",0.088,18,"bart",2.26410065857154e-136,1.71357837450241e-104
"127",0.088,19,"none",4.68930854894238e-98,1.64814534123038e-66
"128",0.088,19,"rake",2.40458057961834e-49,2.08945800396953e-44
"129",0.088,19,"strat",9.49478647500605e-101,4.61180428081157e-86
"130",0.088,19,"calib",3.34932708682391e-95,1.59886286241854e-81
"131",0.088,19,"lasso",3.72772941275814e-73,4.8902667071015e-64
"132",0.088,19,"logit",6.58814817832114e-89,4.22157235143762e-72
"133",0.088,19,"bart",1.06779051153294e-86,6.1061791837746e-54
"134",0.088,20,"none",2.59588360152064e-82,2.51316001490872e-54
"135",0.088,20,"rake",2.06748307003834e-66,4.03169186768274e-62
"136",0.088,20,"strat",1.95352113283449e-147,8.19177703317788e-145
"137",0.088,20,"calib",2.77138068739913e-125,3.40169493378783e-101
"138",0.088,20,"lasso",2.97260036365227e-73,5.4314347074493e-66
"139",0.088,20,"logit",5.78170489998009e-100,4.19945454450653e-85
"140",0.088,20,"bart",1.95595007505885e-138,1.14890785821588e-118
"141",0.088,21,"none",1.20852205399859e-96,9.3544667068533e-69
"142",0.088,21,"rake",1.72116910788359e-93,2.75859376752759e-99
"143",0.088,21,"strat",8.2972538923918e-135,1.07928279204768e-134
"144",0.088,21,"calib",9.40740331530865e-139,4.39395321470039e-132
"145",0.088,21,"lasso",1.05355358833492e-111,2.27357519797787e-110
"146",0.088,21,"logit",1.62615188818837e-115,2.45314611956225e-108
"147",0.088,21,"bart",5.88019237372453e-184,1.25488813225098e-187
"148",0.088,22,"none",4.8081405338253e-87,1.692386753386e-58
"149",0.088,22,"rake",6.47283370291443e-80,8.02914932047352e-78
"150",0.088,22,"strat",5.90702936709913e-113,8.96324708548757e-102
"151",0.088,22,"calib",2.80912698595239e-79,1.76401519428742e-63
"152",0.088,22,"lasso",2.94973446344457e-71,4.44283238054566e-70
"153",0.088,22,"logit",8.08146644360774e-111,4.85265712747331e-95
"154",0.088,22,"bart",3.90593634983397e-212,1.03983097460225e-190
"155",0.088,23,"none",1.86421395396803e-77,6.05678647602539e-51
"156",0.088,23,"rake",1.56424776120398e-51,4.73714251342053e-44
"157",0.088,23,"strat",5.09729741610435e-106,1.89313689107357e-96
"158",0.088,23,"calib",9.81976294476958e-105,5.52896914608499e-75
"159",0.088,23,"lasso",1.35446595515626e-75,8.62807022274784e-66
"160",0.088,23,"logit",1.4722671804669e-69,4.0549575751e-55
"161",0.088,23,"bart",1.20550736095593e-145,1.24936179015855e-122
"162",0.088,24,"none",9.40517654745088e-80,5.44781466070783e-53
"163",0.088,24,"rake",4.42002794332354e-71,1.3093881683131e-68
"164",0.088,24,"strat",8.16105108892252e-159,4.47206652473089e-159
"165",0.088,24,"calib",2.09953673403451e-97,1.94973990755751e-83
"166",0.088,24,"lasso",5.32074544415536e-101,1.18893805686761e-96
"167",0.088,24,"logit",4.44694556303084e-101,4.61933084530554e-91
"168",0.088,24,"bart",1.14269023376694e-168,7.80477724037778e-152
"169",0.088,25,"none",2.60777182387665e-95,8.51455392526472e-67
"170",0.088,25,"rake",3.22501776187592e-75,2.3002518915332e-72
"171",0.088,25,"strat",1.20853341045565e-122,2.3235162914967e-113
"172",0.088,25,"calib",1.13655642865622e-81,1.90911687847219e-61
"173",0.088,25,"lasso",1.678402511132e-64,2.17236828271702e-53
"174",0.088,25,"logit",2.94407991222665e-90,1.16812763826048e-76
"175",0.088,25,"bart",6.39300169541582e-158,3.6165519159437e-134
"176",0.088,26,"none",1.0287631434609e-72,3.57775093667104e-46
"177",0.088,26,"rake",1.83459270933652e-61,2.71473941060622e-56
"178",0.088,26,"strat",1.9844397706092e-82,5.33592298422347e-62
"179",0.088,26,"calib",2.45868375044381e-81,6.91517598858166e-62
