"","prop_sampled","sim_num","method","(Intercept)","age_sq","Error age squared","Error Intercept"
"1",0.088,1,"none",2.26274246158712,-0.000543540517451441,4.80838962041375e-05,-0.0877111359868792
"2",0.088,1,"rake",2.39253625217199,-0.000610588513980467,-1.89641003248886e-05,0.0420826545979947
"3",0.088,1,"strat",2.52811784970751,-0.000627845062770433,-3.62206491148548e-05,0.177664252133509
"4",0.088,1,"calib",2.23039751304563,-0.000534833995606016,5.67904180495628e-05,-0.120056084528371
"5",0.088,1,"lasso",2.14957075560603,-0.000521629882501405,6.99945311541734e-05,-0.200882841967966
"6",0.088,1,"logit",2.36769020868507,-0.000583617701084912,8.00671257066672e-06,0.017236611111072
"7",0.088,1,"bart",2.20749263840753,-0.000520043963151693,7.15804505038849e-05,-0.142960959166464
"8",0.088,2,"none",2.29510032523623,-0.000576259998153333,1.53644155022449e-05,-0.0553532723377645
"9",0.088,2,"rake",1.97176932831483,-0.000510942894683037,8.06815189725412e-05,-0.378684269259165
"10",0.088,2,"strat",2.23358612230406,-0.000556936085833969,3.46883278216098e-05,-0.116867475269942
"11",0.088,2,"calib",2.07735628697076,-0.000503304399925292,8.83200137302864e-05,-0.273097310603239
"12",0.088,2,"lasso",2.43960959235508,-0.000642675597810246,-5.10511841546677e-05,0.089155994781084
"13",0.088,2,"logit",2.37532540788813,-0.000600824814319324,-9.20040066374535e-06,0.0248718103141341
"14",0.088,2,"bart",2.3235076518811,-0.000582057533137702,9.56688051787663e-06,-0.0269459456929
"15",0.088,3,"none",2.27209465461539,-0.000550979287968891,4.06451256866871e-05,-0.078358942958602
"16",0.088,3,"rake",2.71631129146521,-0.000707168911509669,-0.000115544497854091,0.365857693891216
"17",0.088,3,"strat",3.08122095160092,-0.000790273701777104,-0.000198649288121526,0.730767354026918
"18",0.088,3,"calib",1.93755413406947,-0.000462448077622184,0.000129176336033394,-0.412899463504522
"19",0.088,3,"lasso",2.71535188780154,-0.000684472957780979,-9.2848544125401e-05,0.364898290227547
"20",0.088,3,"logit",2.53213192967958,-0.000630068694571074,-3.84442809154955e-05,0.181678332105585
"21",0.088,3,"bart",2.22353839215346,-0.000532414617972687,5.92097956828917e-05,-0.12691520542054
"22",0.088,4,"none",2.37794747415545,-0.000590590210622828,1.03420303275079e-06,0.0274938765814561
"23",0.088,4,"rake",1.96720260587571,-0.00050142930712182,9.01951065337582e-05,-0.383250991698286
"24",0.088,4,"strat",2.54360640531159,-0.000645204106725124,-5.35796930695458e-05,0.193152807737591
"25",0.088,4,"calib",1.9243399844165,-0.000491314162010791,0.000100310251644787,-0.426113613157501
"26",0.088,4,"lasso",2.04862213519831,-0.000524271671906363,6.73527417492158e-05,-0.301831462375687
"27",0.088,4,"logit",2.41276667811008,-0.000613096533197775,-2.14721195421969e-05,0.0623130805360832
"28",0.088,4,"bart",2.32521733771578,-0.000565164633598683,2.64597800568956e-05,-0.0252362598582194
"29",0.088,5,"none",2.25238008842874,-0.000551133267079931,4.04911465756472e-05,-0.0980735091452583
"30",0.088,5,"rake",2.50135278832473,-0.000647990116072915,-5.63657024173363e-05,0.150899190750738
"31",0.088,5,"strat",2.77307474565543,-0.000709617713978866,-0.000117993300323287,0.422621148081428
"32",0.088,5,"calib",2.17824374924558,-0.00053731436839899,5.43100452565884e-05,-0.172209848328415
"33",0.088,5,"lasso",3.03342940688334,-0.000791775908854231,-0.000200151495198653,0.682975809309341
"34",0.088,5,"logit",2.6078795996909,-0.000667068913957178,-7.54445003015998e-05,0.257426002116901
"35",0.088,5,"bart",2.15321353565248,-0.000514830030691144,7.67943829644345e-05,-0.197240061921513
"36",0.088,6,"none",2.24139148698124,-0.00054130478314548,5.03196305100983e-05,-0.109062110592752
"37",0.088,6,"rake",2.20158216228441,-0.000546843836878797,4.47805767767812e-05,-0.148871435289588
"38",0.088,6,"strat",2.33528074429775,-0.000568410646326654,2.3213767328924e-05,-0.0151728532762432
"39",0.088,6,"calib",1.85940452150548,-0.000457658990923097,0.000133965422732481,-0.491049076068514
"40",0.088,6,"lasso",2.28268107250517,-0.000558247630747057,3.33767829085218e-05,-0.0677725250688268
"41",0.088,6,"logit",2.23890580738425,-0.000549858176717671,4.17662369379068e-05,-0.111547790189746
"42",0.088,6,"bart",2.20295090962699,-0.000524156423768937,6.74679898866418e-05,-0.147502687947009
"43",0.088,7,"none",2.16129956033098,-0.000515210300133583,7.64141135219952e-05,-0.189154037243015
"44",0.088,7,"rake",2.37097501860452,-0.000603533181907453,-1.19087682518746e-05,0.0205214210305238
"45",0.088,7,"strat",2.54603874275111,-0.000636985513486502,-4.53610998309233e-05,0.195585145177111
"46",0.088,7,"calib",2.00271500345126,-0.000482498658701248,0.00010912575495433,-0.34773859412274
"47",0.088,7,"lasso",2.28017576585769,-0.000568795694994653,2.28287186609253e-05,-0.070277831716302
"48",0.088,7,"logit",2.27413089933479,-0.000561973551737248,2.96508619183302e-05,-0.0763226982392049
"49",0.088,7,"bart",2.0029369363513,-0.000459597497325651,0.000132026916329927,-0.347516661222693
"50",0.088,8,"none",2.09376713311478,-0.000499145712309318,9.24787013462603e-05,-0.256686464459218
"51",0.088,8,"rake",2.44980851969052,-0.00063030596556027,-3.8681551904692e-05,0.0993549221165262
"52",0.088,8,"strat",2.23015973501883,-0.000535314102525561,5.63103111300175e-05,-0.120293862555164
"53",0.088,8,"calib",1.72424926225223,-0.000398601718211874,0.000193022695443704,-0.626204335321763
"54",0.088,8,"lasso",2.32366004835193,-0.000589684199418327,1.94021423725117e-06,-0.0267935492220639
"55",0.088,8,"logit",2.3997331933607,-0.000598060145330343,-6.43573167476489e-06,0.0492795957867029
"56",0.088,8,"bart",2.03348597009868,-0.000475814123292378,0.0001158102903632,-0.316967627475317
"57",0.088,9,"none",2.14079125251447,-0.000517853142934199,7.37712707213792e-05,-0.209662345059527
"58",0.088,9,"rake",1.99247426494676,-0.000503415756834838,8.82086568207407e-05,-0.35797933262724
"59",0.088,9,"strat",2.25638409137439,-0.000555587570266534,3.6036843389044e-05,-0.094069506199606
"60",0.088,9,"calib",1.95263075767803,-0.000450273322254258,0.00014135109140132,-0.397822839895964
"61",0.088,9,"lasso",1.82066423090962,-0.00047353925022425,0.000118085163431328,-0.529789366664375
"62",0.088,9,"logit",2.08861890521657,-0.000512220201048967,7.94042126066117e-05,-0.261834692357425
"63",0.088,9,"bart",2.15388377991256,-0.000519129465556715,7.24949480988633e-05,-0.196569817661434
"64",0.088,10,"none",2.15027654423364,-0.000519421959355337,7.22024543002414e-05,-0.200177053340354
"65",0.088,10,"rake",2.2600938724108,-0.000576522442994425,1.51019706611537e-05,-0.0903597251631965
"66",0.088,10,"strat",2.37658522570717,-0.000588840250215193,2.78416344038496e-06,0.026131628133176
"67",0.088,10,"calib",1.39639623547474,-0.000325791322322916,0.000265833091332663,-0.954057362099262
"68",0.088,10,"lasso",2.35425132217996,-0.000600634042370362,-9.00962871478383e-06,0.00379772460596417
"69",0.088,10,"logit",2.38576891000804,-0.000590787725357044,8.3668829853399e-07,0.0353153124340437
"70",0.088,10,"bart",2.18708047154414,-0.000522360455463971,6.92639581916069e-05,-0.163373126029856
"71",0.088,11,"none",2.09245424573019,-0.000501141990642688,9.04824230128904e-05,-0.257999351843802
"72",0.088,11,"rake",1.38711745036317,-0.000333502603997952,0.000258121809657626,-0.963336147210831
"73",0.088,11,"strat",1.95418504696842,-0.000457949522342541,0.000133674891313037,-0.396268550605573
"74",0.088,11,"calib",1.11043018500574,-0.000246115124363744,0.000345509289291835,-1.24002341256826
"75",0.088,11,"lasso",1.76721847834382,-0.000424959778086039,0.000166664635569539,-0.583235119230173
"76",0.088,11,"logit",2.03357063305974,-0.00049618737952719,9.54370341283883e-05,-0.31688296451426
"77",0.088,11,"bart",2.04141215770882,-0.000477143205842297,0.000114481207813281,-0.309041439865177
"78",0.088,12,"none",2.03569465872011,-0.000481677301325934,0.000109947112329644,-0.314758938853889
"79",0.088,12,"rake",1.14138334337058,-0.000238000571269245,0.000353623842386333,-1.20907025420342
"80",0.088,12,"strat",1.58683633168942,-0.000341495065208785,0.000250129348446794,-0.763617265884581
"81",0.088,12,"calib",2.08541822937452,-0.000486887522912139,0.00010473689074344,-0.265035368199475
"82",0.088,12,"lasso",1.82959146979045,-0.000431898427849066,0.000159725985806513,-0.52086212778355
"83",0.088,12,"logit",1.97330359599481,-0.000469483833637284,0.000122140580018294,-0.377150001579182
"84",0.088,12,"bart",2.12849271560973,-0.000495781479622387,9.5842934033191e-05,-0.221960881964271
"85",0.088,13,"none",2.12613197636691,-0.000508659992361705,8.29644212938729e-05,-0.224321621207091
"86",0.088,13,"rake",2.17136788245219,-0.000535177011393388,5.64474022621899e-05,-0.179085715121811
"87",0.088,13,"strat",2.33674316758118,-0.000567673197203121,2.39512164524572e-05,-0.0137104299928139
"88",0.088,13,"calib",1.62771795584279,-0.000361926696120223,0.000229697717535355,-0.722735641731208
"89",0.088,13,"lasso",1.62652117687932,-0.000362227184708707,0.000229397228946871,-0.723932420694674
"90",0.088,13,"logit",1.88278455317542,-0.000441140455122584,0.000150483958532994,-0.467669044398577
"91",0.088,13,"bart",2.18999733029036,-0.000523177273783381,6.84471398721978e-05,-0.160456267283636
"92",0.088,14,"none",2.08033011941755,-0.000501522305532116,9.01021081234622e-05,-0.270123478156447
"93",0.088,14,"rake",1.92919359898679,-0.000465875868010849,0.00012574854564473,-0.421259998587205
"94",0.088,14,"strat",1.6636439475315,-0.000371632329256167,0.000219992084399411,-0.6868096500425
"95",0.088,14,"calib",1.76686021942886,-0.000387189545811218,0.00020443486784436,-0.583593378145138
"96",0.088,14,"lasso",2.45767633985809,-0.000619030006317451,-2.7405592661873e-05,0.107222742284096
"97",0.088,14,"logit",2.1922647097828,-0.000541819102098666,4.98053115569119e-05,-0.158188887791194
