"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"87",0.057,13,"strat",5.17998126461499e-53,6.04527899443669e-45
"88",0.057,13,"calib",9.56018183586852e-56,2.19448700154994e-35
"89",0.057,13,"lasso",8.29442519538798e-60,9.01539972226162e-50
"90",0.057,13,"logit",2.06620161378384e-51,6.14384239660639e-47
"91",0.057,13,"bart",9.22941150138194e-62,8.98798930333941e-57
"92",0.057,14,"none",1.12801084325509e-45,3.13706975814762e-28
"93",0.057,14,"rake",1.12801084325509e-45,3.13706975814762e-28
"94",0.057,14,"strat",1.82528359086824e-82,4.97443052172811e-75
"95",0.057,14,"calib",9.16108912670891e-47,1.30591568122993e-39
"96",0.057,14,"lasso",7.83146597181194e-45,2.56103118827995e-28
"97",0.057,14,"logit",6.84517164970702e-56,7.39146770952941e-45
"98",0.057,14,"bart",7.79326178794295e-88,2.01725061660456e-81
"99",0.057,15,"none",3.35468895543254e-58,2.51178687939585e-39
"100",0.057,15,"rake",3.35468895543254e-58,2.51178687939585e-39
"101",0.057,15,"strat",4.14392120210751e-79,5.25897836608962e-78
"102",0.057,15,"calib",3.47300389249107e-60,2.41268162767288e-46
"103",0.057,15,"lasso",5.3372041681033e-57,4.11826073504012e-51
"104",0.057,15,"logit",1.4818600170032e-70,1.99136752816558e-65
"105",0.057,15,"bart",4.11077912614166e-81,2.40397450671968e-78
"106",0.057,16,"none",4.7460472764112e-47,1.1642934381098e-29
"107",0.057,16,"rake",4.7460472764112e-47,1.1642934381098e-29
"108",0.057,16,"strat",3.43853772111003e-59,1.00722954318205e-48
"109",0.057,16,"calib",2.13600456302342e-60,4.99389066362696e-44
"110",0.057,16,"lasso",1.00586394612289e-49,3.63110830647821e-33
"111",0.057,16,"logit",1.10238924566544e-53,3.77368847584006e-43
"112",0.057,16,"bart",8.44806359271292e-48,1.47528074811904e-37
"113",0.057,17,"none",8.73687317517661e-65,5.25954920751368e-46
"114",0.057,17,"rake",8.73687317517661e-65,5.25954920751368e-46
"115",0.057,17,"strat",4.82403714293523e-40,6.45820419480092e-35
"116",0.057,17,"calib",7.74948449625781e-78,2.1808135739356e-73
"117",0.057,17,"lasso",1.68885011311299e-65,2.12383030828113e-48
"118",0.057,17,"logit",7.39868514787881e-34,1.5500785424533e-28
"119",0.057,17,"bart",6.34233805976818e-58,4.0147447313383e-53
"120",0.057,18,"none",5.58809497155569e-52,2.92515478311822e-35
"121",0.057,18,"rake",5.58809497155569e-52,2.92515478311822e-35
"122",0.057,18,"strat",1.85590619603711e-103,2.34831301299131e-105
"123",0.057,18,"calib",3.5682606551402e-64,3.73711704221988e-54
