"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"1",0.136,1,"none",5.10064791124724e-113,1.81067882070225e-75
"2",0.136,1,"rake",5.10064791124724e-113,1.81067882070225e-75
"3",0.136,1,"strat",2.35190593748506e-226,9.3853388994632e-228
"4",0.136,1,"calib",1.49951118596652e-100,9.50393957577174e-68
"5",0.136,1,"lasso",1.15001476153552e-125,4.67391556646368e-102
"6",0.136,1,"logit",2.22036469433941e-158,9.16698812242216e-142
"7",0.136,1,"bart",2.99669603555939e-191,1.04897690700077e-183
"8",0.136,2,"none",8.6446069108833e-131,1.75782420730921e-86
"9",0.136,2,"rake",8.6446069108833e-131,1.75782420730921e-86
"10",0.136,2,"strat",1.32183830381668e-180,1.64415025929223e-169
"11",0.136,2,"calib",2.06153342875809e-152,1.82763910298238e-113
"12",0.136,2,"lasso",1.54665887952268e-129,1.04897677543802e-88
"13",0.136,2,"logit",2.65460086454685e-160,6.76457257206828e-139
"14",0.136,2,"bart",1.5387501671089e-193,3.9398653533576e-179
"15",0.136,3,"none",1.30789958875038e-131,2.34048829801819e-85
"16",0.136,3,"rake",1.30789958875038e-131,2.34048829801819e-85
"17",0.136,3,"strat",2.02818181894622e-201,3.98984780291999e-189
"18",0.136,3,"calib",4.60631947087339e-128,3.01046827165273e-89
"19",0.136,3,"lasso",1.51994054316333e-134,2.04263886296759e-92
"20",0.136,3,"logit",2.63319713007293e-196,6.18739523512591e-174
"21",0.136,3,"bart",9.46021611428977e-182,6.22698970026448e-165
"22",0.136,4,"none",1.12278026658454e-128,1.92100263899018e-84
"23",0.136,4,"rake",1.12278026658454e-128,1.92100263899018e-84
"24",0.136,4,"strat",1.8918862814941e-127,1.98297847513414e-105
"25",0.136,4,"calib",3.17184914588382e-134,1.19766854243172e-110
"26",0.136,4,"lasso",1.01553462861819e-126,5.64244091338963e-85
"27",0.136,4,"logit",4.01276712561076e-132,2.00975509119902e-113
"28",0.136,4,"bart",2.77252522982602e-183,3.23698816279155e-163
"29",0.136,5,"none",1.25121711795193e-133,1.91360345087883e-87
"30",0.136,5,"rake",1.25121711795193e-133,1.91360345087883e-87
"31",0.136,5,"strat",1.8778874236872e-185,9.10457601936986e-174
"32",0.136,5,"calib",6.88212222139958e-193,8.14183974892273e-173
"33",0.136,5,"lasso",1.00262273351024e-147,1.67768015010725e-113
