"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"1",0.21,1,"none",2.7674002713571e-189,3.46537911850876e-127
"2",0.21,1,"rake",1.89450466407149e-118,1.87510792971923e-106
"3",0.21,1,"strat",4.83234388291337e-286,1.3032305313992e-266
"4",0.21,1,"calib",1.42384478568143e-191,2.34760040834581e-161
"5",0.21,1,"lasso",1.39139466326329e-156,9.06210274617398e-130
"6",0.21,1,"logit",4.46930283299357e-234,3.12592439950593e-210
"7",0.21,1,"bart",0,0
"8",0.21,2,"none",2.41191640534049e-214,2.69639429391877e-143
"9",0.21,2,"rake",3.0973758529182e-153,3.33135614750555e-144
"10",0.21,2,"strat",0,3.16266993578415e-312
"11",0.21,2,"calib",2.70006020792142e-238,5.44419652636437e-175
"12",0.21,2,"lasso",1.19678796489263e-173,5.51534590507537e-153
"13",0.21,2,"logit",6.47413264591175e-247,2.73466945234235e-215
"14",0.21,2,"bart",0,0
"15",0.21,3,"none",4.9434264121379e-190,4.55614644439326e-128
"16",0.21,3,"rake",1.0321179448048e-133,4.45841562292961e-123
"17",0.21,3,"strat",4.00500729880109e-270,7.88166848112638e-258
"18",0.21,3,"calib",3.40962196283259e-227,1.67990268066349e-180
"19",0.21,3,"lasso",2.12565657776678e-157,2.82969042467323e-142
"20",0.21,3,"logit",7.27807380642221e-181,1.76509094223006e-149
"21",0.21,3,"bart",0,1.97626258336499e-323
"22",0.21,4,"none",3.89710860021977e-195,9.17098839714696e-129
"23",0.21,4,"rake",2.18462054142518e-73,3.12881572250706e-63
"24",0.21,4,"strat",1.16809657206451e-190,1.19130222922385e-158
"25",0.21,4,"calib",1.3561531970774e-146,4.42953096305983e-100
"26",0.21,4,"lasso",1.04682252406198e-148,9.43897220398013e-125
"27",0.21,4,"logit",1.10718094348769e-192,1.24305931610385e-157
"28",0.21,4,"bart",3.01394345693681e-226,2.83285741891254e-174
"29",0.21,5,"none",6.05217707295461e-213,2.68479490784496e-148
"30",0.21,5,"rake",1.55567204282015e-177,2.11012467064603e-182
"31",0.21,5,"strat",8.92632402885896e-309,2.27168617073385e-306
"32",0.21,5,"calib",4.59485641312215e-269,2.51990316959936e-243
"33",0.21,5,"lasso",4.15470000442562e-239,2.61947052185285e-235
"34",0.21,5,"logit",1.60762458013487e-232,1.2084389352129e-204
"35",0.21,5,"bart",0,2.03132125893753e-317
"36",0.21,6,"none",8.43112365001827e-215,5.16595501389251e-145
"37",0.21,6,"rake",3.60953366302107e-184,4.80379306754342e-175
"38",0.21,6,"strat",6.29566612985605e-294,9.8166840838998e-280
"39",0.21,6,"calib",0,3.23630477717187e-268
"40",0.21,6,"lasso",9.74215127862339e-237,1.2387400735638e-217
"41",0.21,6,"logit",2.12222817975513e-253,4.28971481650059e-223
"42",0.21,6,"bart",0,1.44365891379776e-309
"43",0.21,7,"none",6.5018885631047e-210,1.57893370969898e-144
"44",0.21,7,"rake",3.43226069571114e-209,6.14560364695851e-209
"45",0.21,7,"strat",0,0
"46",0.21,7,"calib",3.52899737878968e-309,6.71683925288206e-266
"47",0.21,7,"lasso",6.29715653424479e-313,1.08928135135557e-317
"48",0.21,7,"logit",3.71080731925899e-244,6.11475078570107e-212
"49",0.21,7,"bart",0,0
"50",0.21,8,"none",3.24273962117285e-221,1.19733330711654e-151
"51",0.21,8,"rake",5.70399343438536e-173,1.06864114641983e-165
"52",0.21,8,"strat",1.41150681263528e-312,4.62157051146388e-299
"53",0.21,8,"calib",1.58857583212812e-243,1.1604262863929e-210
"54",0.21,8,"lasso",1.89937535797979e-255,6.90565443032901e-241
"55",0.21,8,"logit",3.82376709664879e-274,1.09027184444323e-251
"56",0.21,8,"bart",0,0
"57",0.21,9,"none",1.42646227504809e-204,1.41420101202062e-137
"58",0.21,9,"rake",5.4122578753649e-157,2.44436384495384e-144
"59",0.21,9,"strat",9.4481898175256e-255,1.63800582407027e-234
"60",0.21,9,"calib",1.75083860959057e-226,5.96953553900697e-172
"61",0.21,9,"lasso",3.57751358123899e-217,3.44563044443602e-191
"62",0.21,9,"logit",1.18459842004953e-280,1.44497467467539e-280
"63",0.21,9,"bart",0,0
"64",0.21,10,"none",1.27008660595045e-230,1.19510174908738e-162
"65",0.21,10,"rake",3.66048366187144e-207,4.22138477181445e-209
"66",0.21,10,"strat",0,0
"67",0.21,10,"calib",0,1.3569589166351e-302
"68",0.21,10,"lasso",1.20608573314028e-249,5.9537395045865e-240
"69",0.21,10,"logit",0,0
"70",0.21,10,"bart",0,0
"71",0.21,11,"none",1.38872508260705e-192,3.45123022932544e-129
"72",0.21,11,"rake",1.44493313353013e-149,6.82523582822209e-140
"73",0.21,11,"strat",2.62084470661473e-284,2.11920623704016e-268
"74",0.21,11,"calib",3.22127597400409e-231,1.02543550543984e-181
"75",0.21,11,"lasso",4.83076156767698e-298,4.17059112237493e-287
"76",0.21,11,"logit",0,0
"77",0.21,11,"bart",0,0
"78",0.21,12,"none",9.1880797940868e-207,6.68333809372931e-142
"79",0.21,12,"rake",1.06313789637807e-121,1.0663447874282e-114
"80",0.21,12,"strat",1.91434071108376e-293,7.0869453224705e-285
"81",0.21,12,"calib",1.67922873208969e-178,1.12101915221355e-136
"82",0.21,12,"lasso",1.35425609602327e-218,3.22919638957497e-208
"83",0.21,12,"logit",0,0
"84",0.21,12,"bart",0,6.30328950964262e-320
"85",0.21,13,"none",5.70229058758146e-199,2.88374112510501e-131
"86",0.21,13,"rake",3.40104750218024e-214,1.24667345870053e-200
"87",0.21,13,"strat",5.66081112002143e-289,6.59039001047881e-264
"88",0.21,13,"calib",1.27240517674971e-225,7.88701996219682e-147
"89",0.21,13,"lasso",1.24847048957426e-216,4.2608701269832e-187
"90",0.21,13,"logit",0,0
"91",0.21,13,"bart",0,0
"92",0.21,14,"none",1.55221126348262e-199,3.08067856198842e-133
"93",0.21,14,"rake",1.16594385355529e-142,1.18791170774623e-137
"94",0.21,14,"strat",1.28752499412311e-316,2.57589512276401e-301
"95",0.21,14,"calib",9.71437863577027e-238,1.0160183532775e-184
"96",0.21,14,"lasso",4.98876223615294e-156,2.48199483140141e-130
"97",0.21,14,"logit",4.00707430979061e-257,4.95047739946106e-231
"98",0.21,14,"bart",0,0
"99",0.21,15,"none",8.64836274338312e-231,7.01479507687089e-160
"100",0.21,15,"rake",4.93138503712009e-200,1.21277316581248e-209
"101",0.21,15,"strat",0,0
"102",0.21,15,"calib",4.57436458571801e-309,1.64974880008479e-278
"103",0.21,15,"lasso",1.97243043040748e-216,1.61984944569632e-192
"104",0.21,15,"logit",9.0211084259343e-286,4.9218145487287e-265
"105",0.21,15,"bart",0,0
"106",0.21,16,"none",3.43714317800439e-225,2.65246371710986e-153
"107",0.21,16,"rake",9.13821312008344e-203,6.62210683628763e-196
"108",0.21,16,"strat",0,1.74306359852792e-320
"109",0.21,16,"calib",0,1.76606494485867e-296
