"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"1",0.324,1,"none",0,7.11548810625092e-222
"2",0.324,1,"rake",0,0
"3",0.324,1,"strat",0,0
"4",0.324,1,"calib",0,8.48956458722269e-310
"5",0.324,1,"lasso",0,0
"6",0.324,1,"logit",0,0
"7",0.324,1,"bart",9.62105793441044e-272,1.88938970384021e-165
"8",0.324,2,"none",0,6.67286428370433e-231
"9",0.324,2,"rake",0,0
"10",0.324,2,"strat",0,0
"11",0.324,2,"calib",0,9.26930329023469e-264
"12",0.324,2,"lasso",0,0
"13",0.324,2,"logit",0,7.77582802712696e-294
"14",0.324,2,"bart",6.12426377198956e-282,7.68698284945901e-177
"15",0.324,3,"none",1.79921811170294e-316,5.07310901593631e-215
"16",0.324,3,"rake",0,0
"17",0.324,3,"strat",0,0
"18",0.324,3,"calib",0,3.00391912671478e-321
"19",0.324,3,"lasso",0,0
"20",0.324,3,"logit",0,0
"21",0.324,3,"bart",6.41449193526696e-259,2.62003343290043e-158
"22",0.324,4,"none",0,8.61063977420322e-227
"23",0.324,4,"rake",0,1.23987710561193e-316
"24",0.324,4,"strat",0,0
"25",0.324,4,"calib",0,8.9058023031407e-287
"26",0.324,4,"lasso",2.09093367738404e-266,6.35336333042375e-234
"27",0.324,4,"logit",0,0
"28",0.324,4,"bart",1.61728378812267e-276,1.7651557287276e-170
"29",0.324,5,"none",0,1.84800616911749e-238
"30",0.324,5,"rake",0,0
"31",0.324,5,"strat",0,0
"32",0.324,5,"calib",0,2.20585023018866e-294
"33",0.324,5,"lasso",0,0
"34",0.324,5,"logit",0,0
"35",0.324,5,"bart",5.68558949722378e-276,2.26030293598607e-169
"36",0.324,6,"none",0,9.82783807212245e-236
"37",0.324,6,"rake",0,0
"38",0.324,6,"strat",0,0
"39",0.324,6,"calib",0,0
"40",0.324,6,"lasso",1.10473078410103e-320,1.21302039042621e-291
"41",0.324,6,"logit",0,0
"42",0.324,6,"bart",1.58165355139262e-290,6.06076918499106e-183
"43",0.324,7,"none",1.71029948655775e-303,1.34562694751568e-201
"44",0.324,7,"rake",0,0
"45",0.324,7,"strat",0,0
"46",0.324,7,"calib",0,3.52253358638509e-279
"47",0.324,7,"lasso",1.01148319719504e-266,6.72648632922149e-240
"48",0.324,7,"logit",0,0
"49",0.324,7,"bart",1.97038538993021e-251,1.39082952567125e-150
"50",0.324,8,"none",1.08694442085074e-320,1.21013262388325e-220
"51",0.324,8,"rake",0,0
"52",0.324,8,"strat",0,0
"53",0.324,8,"calib",0,4.68311367030857e-263
"54",0.324,8,"lasso",5.18297663060125e-238,2.09483709783027e-208
"55",0.324,8,"logit",0,0
"56",0.324,8,"bart",8.51986627597669e-275,6.48106503420739e-172
"57",0.324,9,"none",0,5.18209929232859e-230
"58",0.324,9,"rake",0,0
"59",0.324,9,"strat",0,0
"60",0.324,9,"calib",0,2.55943143854913e-264
"61",0.324,9,"lasso",0,0
"62",0.324,9,"logit",0,0
"63",0.324,9,"bart",6.9897418671368e-264,7.64014598443629e-164
"64",0.324,10,"none",1.07109044715447e-315,1.13181990927765e-217
"65",0.324,10,"rake",0,0
"66",0.324,10,"strat",0,0
"67",0.324,10,"calib",0,5.30225099826833e-284
"68",0.324,10,"lasso",0,0
"69",0.324,10,"logit",0,0
"70",0.324,10,"bart",4.03133725704359e-254,1.15029292164136e-156
"71",0.324,11,"none",2.2571913863893e-308,2.92997461929741e-211
"72",0.324,11,"rake",0,0
"73",0.324,11,"strat",0,0
"74",0.324,11,"calib",8.62512136833481e-318,1.12835173684411e-244
"75",0.324,11,"lasso",0,1.8565331728401e-309
"76",0.324,11,"logit",0,0
"77",0.324,11,"bart",1.10455429461358e-249,7.5613663750212e-154
"78",0.324,12,"none",0,7.08689555753857e-244
"79",0.324,12,"rake",0,0
"80",0.324,12,"strat",0,0
"81",0.324,12,"calib",0,1.28380064657264e-286
"82",0.324,12,"lasso",0,0
"83",0.324,12,"logit",0,0
"84",0.324,12,"bart",2.86375262624082e-284,4.57701266297311e-178
"85",0.324,13,"none",1.47005675647413e-317,1.42515110447096e-215
"86",0.324,13,"rake",0,0
"87",0.324,13,"strat",0,0
"88",0.324,13,"calib",0,2.99895375810283e-275
"89",0.324,13,"lasso",0,0
"90",0.324,13,"logit",0,0
"91",0.324,13,"bart",6.4946079261715e-251,9.30939707828491e-152
"92",0.324,14,"none",1.67982319586024e-322,1.39804593409759e-219
"93",0.324,14,"rake",0,0
"94",0.324,14,"strat",0,0
"95",0.324,14,"calib",0,5.12292776323613e-249
"96",0.324,14,"lasso",0,3.3016178581018e-300
"97",0.324,14,"logit",0,0
"98",0.324,14,"bart",2.54503500480883e-260,6.02173649890896e-159
"99",0.324,15,"none",0,3.86695587245001e-229
"100",0.324,15,"rake",0,0
"101",0.324,15,"strat",0,0
"102",0.324,15,"calib",0,0
"103",0.324,15,"lasso",0,0
"104",0.324,15,"logit",0,0
"105",0.324,15,"bart",1.20146540307101e-263,5.23448053185853e-162
"106",0.324,16,"none",0,1.92534035407566e-244
"107",0.324,16,"rake",0,0
"108",0.324,16,"strat",0,0
"109",0.324,16,"calib",0,1.07689067545641e-267
"110",0.324,16,"lasso",7.90505033345994e-323,3.55978512903063e-294
"111",0.324,16,"logit",0,0
"112",0.324,16,"bart",3.37323987088849e-280,1.43029161140816e-174
"113",0.324,17,"none",0,6.63884988283078e-230
"114",0.324,17,"rake",0,0
"115",0.324,17,"strat",0,0
"116",0.324,17,"calib",0,0
"117",0.324,17,"lasso",0,6.85261145731475e-317
"118",0.324,17,"logit",0,0
"119",0.324,17,"bart",2.03278241251268e-279,1.26055063328773e-176
"120",0.324,18,"none",0,1.06796532712719e-229
"121",0.324,18,"rake",0,0
"122",0.324,18,"strat",0,0
"123",0.324,18,"calib",0,1.38338380835549e-322
"124",0.324,18,"lasso",0,0
"125",0.324,18,"logit",0,0
"126",0.324,18,"bart",1.84284919117059e-278,4.20328079100412e-176
"127",0.324,19,"none",2.23317671920243e-321,4.53333162337613e-221
"128",0.324,19,"rake",0,0
"129",0.324,19,"strat",0,0
"130",0.324,19,"calib",0,1.61806208510785e-298
"131",0.324,19,"lasso",2.01315445253607e-308,2.26867176576854e-276
"132",0.324,19,"logit",0,0
"133",0.324,19,"bart",6.7270564175982e-271,8.36549533860369e-169
"134",0.324,20,"none",0,2.40536477478338e-225
"135",0.324,20,"rake",0,0
"136",0.324,20,"strat",0,0
"137",0.324,20,"calib",0,4.02054734708395e-251
"138",0.324,20,"lasso",0,4.53769651766434e-319
"139",0.324,20,"logit",0,0
"140",0.324,20,"bart",2.57224048345163e-260,3.68595018280606e-160
"141",0.324,21,"none",8.84337980804164e-319,6.50103971217375e-220
"142",0.324,21,"rake",1.44191384136744e-301,5.40064454336735e-298
"143",0.324,21,"strat",0,0
"144",0.324,21,"calib",7.90505033345994e-323,1.2862186275595e-243
"145",0.324,21,"lasso",0,0
"146",0.324,21,"logit",0,0
"147",0.324,21,"bart",1.89478390530052e-268,2.02366226744289e-168
"148",0.324,22,"none",0,7.62862859232303e-230
"149",0.324,22,"rake",0,0
"150",0.324,22,"strat",0,0
"151",0.324,22,"calib",0,9.88213499864366e-298
"152",0.324,22,"lasso",0,1.63909631990892e-309
"153",0.324,22,"logit",0,0
"154",0.324,22,"bart",3.66909997574595e-277,2.11569189179052e-174
"155",0.324,23,"none",1.37366511837591e-308,3.09889852364987e-208
"156",0.324,23,"rake",0,0
"157",0.324,23,"strat",0,0
"158",0.324,23,"calib",6.37589703354985e-278,3.44204502625632e-183
"159",0.324,23,"lasso",3.40087138148406e-310,2.37607206358012e-256
"160",0.324,23,"logit",0,0
"161",0.324,23,"bart",1.79451332700336e-262,2.11224269952269e-161
"162",0.324,24,"none",9.88131291682493e-324,3.97692595822336e-223
"163",0.324,24,"rake",0,0
"164",0.324,24,"strat",0,0
"165",0.324,24,"calib",0,2.95450499402904e-295
"166",0.324,24,"lasso",0,0
"167",0.324,24,"logit",0,0
"168",0.324,24,"bart",2.03509079792626e-263,4.32731039349044e-163
"169",0.324,25,"none",0,5.31783431008321e-228
"170",0.324,25,"rake",0,0
"171",0.324,25,"strat",0,0
"172",0.324,25,"calib",0,6.41265534825365e-273
"173",0.324,25,"lasso",3.95252516672997e-323,5.51496273001683e-293
"174",0.324,25,"logit",0,0
"175",0.324,25,"bart",3.4935241434235e-273,2.24157492180231e-171
"176",0.324,26,"none",1.41190277939301e-315,8.01613342059842e-217
"177",0.324,26,"rake",0,0
"178",0.324,26,"strat",0,0
"179",0.324,26,"calib",1.60040404524637e-313,4.31609567300568e-246
"180",0.324,26,"lasso",0,0
"181",0.324,26,"logit",0,0
"182",0.324,26,"bart",2.62627447366961e-252,4.45049123430844e-155
"183",0.324,27,"none",1.97626258336499e-323,8.67399754339252e-222
"184",0.324,27,"rake",0,0
"185",0.324,27,"strat",0,0
"186",0.324,27,"calib",0,5.69193504590816e-253
"187",0.324,27,"lasso",0,1.81011818798149e-317
"188",0.324,27,"logit",0,0
"189",0.324,27,"bart",4.42413154827046e-254,1.17704700578313e-153
"190",0.324,28,"none",0,2.35458398046846e-225
"191",0.324,28,"rake",0,0
"192",0.324,28,"strat",0,0
"193",0.324,28,"calib",0,0
"194",0.324,28,"lasso",2.3591384871411e-303,2.45531772622831e-262
"195",0.324,28,"logit",0,0
"196",0.324,28,"bart",9.13484671364914e-269,3.05276522336499e-164
"197",0.324,29,"none",0,6.15800815103122e-236
"198",0.324,29,"rake",0,0
"199",0.324,29,"strat",0,0
"200",0.324,29,"calib",0,1.32607781575864e-278
"201",0.324,29,"lasso",0,0
"202",0.324,29,"logit",0,0
"203",0.324,29,"bart",2.02189479363856e-276,1.38963622143965e-171
"204",0.324,30,"none",7.81812344220609e-310,1.01184547690329e-210
"205",0.324,30,"rake",1.16567845434465e-230,4.14616763070678e-213
"206",0.324,30,"strat",0,0
"207",0.324,30,"calib",0,3.54850731295524e-247
"208",0.324,30,"lasso",1.41262370637532e-259,4.33087672486619e-227
"209",0.324,30,"logit",2.76750124211369e-260,1.71666029646706e-223
"210",0.324,30,"bart",1.41698014444413e-260,5.82254643299285e-161
"211",0.324,31,"none",8.30030285013294e-322,1.57142487885217e-218
"212",0.324,31,"rake",0,0
"213",0.324,31,"strat",0,0
"214",0.324,31,"calib",0,0
"215",0.324,31,"lasso",7.43616297920752e-278,4.97568771247019e-250
"216",0.324,31,"logit",0,0
"217",0.324,31,"bart",7.69509228744977e-262,1.79214537416392e-159
"218",0.324,32,"none",2.11642554050325e-311,1.21540422137134e-212
"219",0.324,32,"rake",0,0
"220",0.324,32,"strat",0,0
"221",0.324,32,"calib",0,3.6447213678563e-253
"222",0.324,32,"lasso",1.60203870412291e-314,3.4561583010658e-283
"223",0.324,32,"logit",0,0
"224",0.324,32,"bart",1.81236376993556e-252,7.31313829050754e-156
"225",0.324,33,"none",8.97769254199487e-317,1.32458657023438e-218
"226",0.324,33,"rake",0,0
"227",0.324,33,"strat",0,0
"228",0.324,33,"calib",0,0
"229",0.324,33,"lasso",1.76519773946161e-318,3.86793974710387e-294
"230",0.324,33,"logit",0,0
