"","prop_sampled","sim_num","method","(Intercept)","age_sq","Error age squared","Error Intercept"
"1",0.037,1,"none",2.04448137731091,-0.000491074503190681,0.000100549910464897,-0.305972220263085
"2",0.037,1,"rake",1.39659753721096,-0.000333590758111417,0.000258033655544161,-0.953856060363038
"3",0.037,1,"strat",2.81865730506567,-0.000723496006639741,-0.000131871592984163,0.468203707491673
"4",0.037,1,"calib",1.60463199822401,-0.000371156107669152,0.000220468305986426,-0.745821599349988
"5",0.037,1,"lasso",2.47536066192528,-0.000623190103956202,-3.1565690300624e-05,0.124907064351286
"6",0.037,1,"logit",2.57592327568225,-0.000655337494285748,-6.37130806301701e-05,0.225469678108258
"7",0.037,1,"bart",2.03339496864985,-0.000486557108228624,0.000105067305426954,-0.317058628924145
"8",0.037,2,"none",2.28996222628482,-0.000556822702444419,3.48017112111589e-05,-0.0604913712891753
"9",0.037,2,"rake",2.09584579974783,-0.000565559359527646,2.60650541279326e-05,-0.254607797826166
"10",0.037,2,"strat",2.819686939382,-0.000718814138976789,-0.000127189725321211,0.469233341808002
"11",0.037,2,"calib",2.03374108200751,-0.000543765134625697,4.78592790298816e-05,-0.316712515566485
"12",0.037,2,"lasso",2.801299068393,-0.000744502741559901,-0.000152878327904322,0.450845470819001
"13",0.037,2,"logit",2.59961041096963,-0.000665568322635985,-7.39439089804062e-05,0.249156813395632
"14",0.037,2,"bart",2.69060355270333,-0.000708243695172199,-0.000116619281516621,0.34014995512933
"15",0.037,3,"none",2.20904074985666,-0.000532001409132821,5.96230045227577e-05,-0.141412847717339
"16",0.037,3,"rake",1.47529289649085,-0.000375915074354213,0.000215709339301365,-0.875160701083144
"17",0.037,3,"strat",2.34417556922665,-0.000584740297911796,6.88411574378237e-06,-0.00627802834735025
"18",0.037,3,"calib",1.39627815196576,-0.00032908598361394,0.000262538430041638,-0.954175445608239
"19",0.037,3,"lasso",1.81994084534357,-0.000410452504688186,0.000181171908967392,-0.530512752230426
"20",0.037,3,"logit",2.10944012693969,-0.000513035643599486,7.85887700560927e-05,-0.241013470634308
"21",0.037,3,"bart",2.63131420017222,-0.00067118570014239,-7.95612864868114e-05,0.280860602598221
"22",0.037,4,"none",2.12902695358891,-0.000507164117720958,8.44602959346202e-05,-0.221426643985088
"23",0.037,4,"rake",0.950747039223378,-0.000190352159882173,0.000401272253773405,-1.39970655835062
"24",0.037,4,"strat",1.92273008531949,-0.000437523903831657,0.000154100509823921,-0.427723512254502
"25",0.037,4,"calib",1.30402974677184,-0.00028171776689326,0.000309906646762318,-1.04642385080216
"26",0.037,4,"lasso",2.05948490534932,-0.000492893168218383,9.87312454371958e-05,-0.290968692224678
"27",0.037,4,"logit",2.06058724685163,-0.000481778095253313,0.000109846318402266,-0.289866350722366
"28",0.037,4,"bart",1.63546623434732,-0.000361056790437032,0.000230567623218547,-0.714987363226673
"29",0.037,5,"none",2.3877313415938,-0.000602623321593012,-1.09989079374338e-05,0.0372777440198053
"30",0.037,5,"rake",2.52420270097002,-0.000612128291360639,-2.05038777050609e-05,0.17374910339602
"31",0.037,5,"strat",1.86312897800164,-0.000444757014613594,0.000146867399041984,-0.487324619572353
"32",0.037,5,"calib",1.98534105719998,-0.000468051721494683,0.000123572692160895,-0.365112540374017
"33",0.037,5,"lasso",2.1251953091884,-0.000551066398918893,4.05580147366856e-05,-0.225258288385592
"34",0.037,5,"logit",2.22050542335988,-0.00056358185094732,2.80425627082582e-05,-0.129948174214114
"35",0.037,5,"bart",2.48124669821799,-0.000632928927670123,-4.13045140145452e-05,0.130793100643993
"36",0.037,6,"none",2.26998404444031,-0.00057487644790276,1.67479657528188e-05,-0.0804695531336894
"37",0.037,6,"rake",2.82901592448048,-0.000728806158843404,-0.000137181745187826,0.478562326906479
"38",0.037,6,"strat",2.36165365467237,-0.000590086731112755,1.53768254282328e-06,0.0112000570983768
"39",0.037,6,"calib",2.04902404394664,-0.000492538774644402,9.90856390111762e-05,-0.301429553627359
"40",0.037,6,"lasso",1.88249802071388,-0.000487257623581241,0.000104366790074337,-0.467955576860113
"41",0.037,6,"logit",2.20932966642529,-0.000562649793541567,2.89746201140115e-05,-0.141123931148711
"42",0.037,6,"bart",1.98503732647688,-0.000648580115742369,-5.69557020867909e-05,-0.365416271097117
"43",0.037,7,"none",2.46360526899776,-0.000615066738529644,-2.34423248740653e-05,0.113151671423759
"44",0.037,7,"rake",2.66831540589076,-0.0007059401102801,-0.000114315696624522,0.317861808316766
"45",0.037,7,"strat",2.23049402597963,-0.000557832029372387,3.37923842831911e-05,-0.119959571594368
"46",0.037,7,"calib",2.57509431095967,-0.000663036604854388,-7.141219119881e-05,0.224640713385669
"47",0.037,7,"lasso",2.61441584051132,-0.0006715899580096,-7.99655443540213e-05,0.263962242937327
"48",0.037,7,"logit",2.02229456143339,-0.000493998389292916,9.76260243626623e-05,-0.328159036140608
"49",0.037,7,"bart",2.516445227333,-0.000627076406344224,-3.54519926886455e-05,0.165991629758999
"50",0.037,8,"none",2.22751842699386,-0.000547876350137798,4.37480635177806e-05,-0.122935170580141
"51",0.037,8,"rake",1.44059553992871,-0.000346728258189022,0.000244896155466556,-0.909858057645283
"52",0.037,8,"strat",3.35708446790047,-0.000900324178875522,-0.000308699765219944,1.00663087032647
"53",0.037,8,"calib",1.75456777213925,-0.000384646627222098,0.000206977786433481,-0.59588582543475
"54",0.037,8,"lasso",2.31514356456372,-0.000589843941681792,1.78047197378606e-06,-0.0353100330102727
"55",0.037,8,"logit",2.40938243832141,-0.000614589444478717,-2.29650308231389e-05,0.0589288407474116
"56",0.037,8,"bart",2.1608894936886,-0.000518631597154174,7.29928165014046e-05,-0.189564103885396
"57",0.037,9,"none",1.93395563158605,-0.000467800353004599,0.000123824060650979,-0.416497965987951
"58",0.037,9,"rake",2.23536639950618,-0.000557733786022076,3.38906276335021e-05,-0.115087198067813
"59",0.037,9,"strat",1.76049814126712,-0.000410499141742329,0.00018112527191325,-0.589955456306872
"60",0.037,9,"calib",1.91110127854857,-0.000466446767144222,0.000125177646511356,-0.439352319025424
"61",0.037,9,"lasso",1.74594942850589,-0.000431446690505217,0.000160177723150362,-0.604504169068108
"62",0.037,9,"logit",1.96526788591408,-0.000476521907283085,0.000115102506372493,-0.385185711659916
"63",0.037,9,"bart",1.96412907862176,-0.000475234569880216,0.000116389843775363,-0.386324518952234
"64",0.037,10,"none",1.95703588951993,-0.000454590815159682,0.000137033598495896,-0.393417708054067
"65",0.037,10,"rake",1.1940626042234,-0.000250131272916223,0.000341493140739356,-1.1563909933506
"66",0.037,10,"strat",1.97385041035898,-0.00045300443620132,0.000138619977454258,-0.37660318721502
"67",0.037,10,"calib",1.51919617357476,-0.000339290736936547,0.000252333676719032,-0.831257423999238
"68",0.037,10,"lasso",2.72399544559752,-0.000687057529115106,-9.5433115459528e-05,0.373541848023523
"69",0.037,10,"logit",1.99635675032046,-0.000465871075928019,0.000125753337727559,-0.354096847253542
"70",0.037,10,"bart",2.04060772486163,-0.000480950722782208,0.00011067369087337,-0.309845872712367
"71",0.037,11,"none",1.88700938082033,-0.00043208089906211,0.000159543514593469,-0.463444216753667
"72",0.037,11,"rake",1.01898186423499,-0.000212393677423116,0.000379230736232462,-1.33147173333901
"73",0.037,11,"strat",2.15607182645436,-0.000518013861946449,7.3610551709129e-05,-0.194381771119638
"74",0.037,11,"calib",1.4915639090244,-0.000330040125251454,0.000261584288404125,-0.858889688549596
"75",0.037,11,"lasso",2.01476382683831,-0.000483741526357964,0.000107882887297614,-0.335689770735682
"76",0.037,11,"logit",2.20534583076053,-0.000528315429155096,6.33089845004823e-05,-0.145107766813468
"77",0.037,11,"bart",1.66776829582237,-0.000360046361702733,0.000231578051952845,-0.682685301751631
"78",0.037,12,"none",1.95951233938768,-0.000459528846943898,0.00013209556671168,-0.390941258186314
"79",0.037,12,"rake",1.67042237301724,-0.00035857598028474,0.000233048433370839,-0.680031224556762
"80",0.037,12,"strat",2.08442828914754,-0.000477962836053154,0.000113661577602424,-0.266025308426452
"81",0.037,12,"calib",2.77332046891964,-0.000644862114552276,-5.32377008966978e-05,0.42286687134564
"82",0.037,12,"lasso",2.06365541134508,-0.000477780017814082,0.000113844395841497,-0.286798186228912
"83",0.037,12,"logit",2.12861352007074,-0.000513875433942254,7.77489797133242e-05,-0.221840077503256
"84",0.037,12,"bart",1.94190668689417,-0.000451547685720559,0.000140076727935019,-0.408546910679831
"85",0.037,13,"none",1.95888047454086,-0.000467278546209657,0.000124345867445921,-0.39157312303314
"86",0.037,13,"rake",1.37935524392482,-0.000340060727485246,0.000251563686170333,-0.971098353649173
"87",0.037,13,"strat",1.8570579354551,-0.000431282795175552,0.000160341618480027,-0.493395662118895
"88",0.037,13,"calib",1.57833629588633,-0.000353088211332314,0.000238536202323265,-0.772117301687665
"89",0.037,13,"lasso",1.43581929860789,-0.000307358695449314,0.000284265718206265,-0.914634298966103
"90",0.037,13,"logit",1.68233662366557,-0.000389819719892625,0.000201804693762954,-0.668116973908428
"91",0.037,13,"bart",2.07565676093003,-0.000506526911569682,8.5097502085896e-05,-0.274796836643965
"92",0.037,14,"none",2.17642109222338,-0.000519390091895426,7.22343217601521e-05,-0.174032505350615
"93",0.037,14,"rake",2.04846332694883,-0.00049271014683826,9.89142668173185e-05,-0.301990270625165
"94",0.037,14,"strat",2.15511802661588,-0.000511120764420283,8.05036492352957e-05,-0.195335570958114
