"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"1",0.015,1,"none",1.79185152030612e-14,9.11449749514718e-10
"2",0.015,1,"rake",1.79185152030612e-14,9.11449749514718e-10
"3",0.015,1,"strat",1.00801409930182e-10,2.01017552576996e-07
"4",0.015,1,"calib",1.42460449996037e-10,7.05374281619346e-08
"5",0.015,1,"lasso",1.69017490408933e-13,1.18078064341145e-09
"6",0.015,1,"logit",3.40725950869664e-06,0.000156267999411251
"7",0.015,1,"bart",5.26307359686650e-09,5.95522130295899e-06
"8",0.015,2,"none",6.3923400108537e-15,3.39397517165864e-10
"9",0.015,2,"rake",6.3923400108537e-15,3.39397517165864e-10
"10",0.015,2,"strat",1.32110696195553e-15,8.73641913943304e-12
"11",0.015,2,"calib",4.33451932801398e-23,4.84972262392633e-19
"12",0.015,2,"lasso",5.86038445230926e-13,1.17244341361806e-09
"13",0.015,2,"logit",4.86219996081515e-23,5.22258664964278e-22
"14",0.015,2,"bart",0.00843670703423036,0.137011515582182
"15",0.015,3,"none",1.43069984869642e-17,5.39793669746214e-12
"16",0.015,3,"rake",1.43069984869642e-17,5.39793669746214e-12
"17",0.015,3,"strat",2.15672472991455e-20,9.20333813147598e-15
"18",0.015,3,"calib",9.48519208532794e-12,9.83415634091235e-09
"19",0.015,3,"lasso",8.06898616559035e-19,1.38923137868493e-15
"20",0.015,3,"logit",1.93295500099347e-29,1.58652219771025e-27
"21",0.015,3,"bart",1.42554658363379e-17,1.85315688181228e-12
"22",0.015,4,"none",2.1172979875188e-12,1.61062483232678e-08
"23",0.015,4,"rake",2.1172979875188e-12,1.61062483232678e-08
"24",0.015,4,"strat",1.44637820030143e-10,2.84750874372529e-08
"25",0.015,4,"calib",5.02462229751967e-06,0.000130445876416133
"26",0.015,4,"lasso",1.38435085458136e-11,4.5994054817481e-10
"27",0.015,4,"logit",4.89172621640054e-21,6.82195707510431e-22
"28",0.015,4,"bart",4.08039724806464e-07,7.14864334315779e-05
"29",0.015,5,"none",1.38639721759597e-13,3.78378509629114e-09
"30",0.015,5,"rake",1.38639721759597e-13,3.78378509629114e-09
"31",0.015,5,"strat",2.82441411938811e-11,1.13599135770443e-08
"32",0.015,5,"calib",3.46733469402423e-22,1.23163346897054e-17
"33",0.015,5,"lasso",6.7707298206177e-15,5.62306510452123e-11
"34",0.015,5,"logit",9.23090032063379e-18,1.41036653798753e-15
"35",0.015,5,"bart",1.82644806841163e-28,4.75201971750611e-28
"36",0.015,6,"none",4.06244650200442e-18,1.2709177338977e-12
"37",0.015,6,"rake",4.06244650200442e-18,1.2709177338977e-12
"38",0.015,6,"strat",2.63441184648232e-22,5.19863078245159e-17
"39",0.015,6,"calib",3.23714587653918e-29,2.54502475619297e-27
"40",0.015,6,"lasso",5.26247751954503e-26,5.50855690546654e-24
"41",0.015,6,"logit",9.89952243484055e-17,1.26179715331308e-16
"42",0.015,6,"bart",8.95659405613605e-35,7.99568575275849e-35
"43",0.015,7,"none",2.42983372992659e-13,9.58897736984561e-09
"44",0.015,7,"rake",2.42983372992659e-13,9.58897736984561e-09
"45",0.015,7,"strat",2.52030673117173e-15,9.87048513089400e-12
"46",0.015,7,"calib",1.29281741128647e-14,6.56713232257793e-11
"47",0.015,7,"lasso",1.34464349752756e-16,2.46263888195425e-11
