"","prop_sampled","sim_num","method","(Intercept)","age_sq","Error age squared","Error Intercept"
"1",0.015,1,"none",2.11947865258019,-0.000510044358158915,8.15800554966635e-05,-0.230974944993808
"2",0.015,1,"rake",1.70597304560648,-0.000421526151823853,0.000170098261831726,-0.644480551967514
"3",0.015,1,"strat",1.85353080610044,-0.000409987836295635,0.000181636577359943,-0.496922791473559
"4",0.015,1,"calib",1.74032268666598,-0.000403280397434853,0.000188344016220725,-0.61013091090802
"5",0.015,1,"lasso",1.30477537156226,-0.000300711741628215,0.000290912672027363,-1.04567822601174
"6",0.015,1,"logit",1.50037352981608,-0.000345772810245424,0.000245851603410154,-0.850080067757914
"7",0.015,1,"bart",1.47225534651712,-0.000311651727178305,0.000279972686477273,-0.878198251056874
"8",0.015,2,"none",2.14356421572906,-0.000508776635311526,8.28477783440526e-05,-0.206889381844932
"9",0.015,2,"rake",3.12865812520425,-0.000829993226356206,-0.000238368812700627,0.778204527630256
"10",0.015,2,"strat",2.27748819627836,-0.000542327642850113,4.92967708054649e-05,-0.0729654012956376
"11",0.015,2,"calib",2.50283041256079,-0.000640614477932014,-4.89900642764356e-05,0.152376814986796
"12",0.015,2,"lasso",2.71781019890076,-0.000734038633420594,-0.000142414219765016,0.367356601326764
"13",0.015,2,"logit",2.78334162269128,-0.000694996574580798,-0.00010337216092522,0.43288802511728
"14",0.015,2,"bart",2.31100259007691,-0.000581357752777075,1.02666608785035e-05,-0.039451007497088
"15",0.015,3,"none",2.28872723932741,-0.000575992871396552,1.56315422590266e-05,-0.0617263582465828
"16",0.015,3,"rake",1.36879987902019,-0.000340266182433736,0.000251358231221842,-0.981653718553806
"17",0.015,3,"strat",2.18792067745378,-0.000543211885064333,4.84125285912448e-05,-0.162532920120221
"18",0.015,3,"calib",1.42696571905648,-0.000341048724919071,0.000250575688736507,-0.923487878517519
"19",0.015,3,"lasso",2.02994176157877,-0.00050131637086406,9.03080427915185e-05,-0.320511835995222
"20",0.015,3,"logit",2.72626360781363,-0.000713586111580531,-0.000121961697924953,0.375810010239629
"21",0.015,3,"bart",2.38468333665417,-0.000615747084472069,-2.41226708164905e-05,0.0342297390801738
