"","prop_sampled","sim_num","method","(Intercept)","age_sq","Error age squared","Error Intercept"
"1",0.324,1,"none",2.21122546019291,-0.000534992853774089,5.66315598814894e-05,-0.139228137381092
"2",0.324,1,"rake",2.21122546019291,-0.000534992853774089,5.66315598814894e-05,-0.139228137381092
"3",0.324,1,"strat",2.39748200771061,-0.000589069582479622,2.55483117595585e-06,0.0470284101366114
"4",0.324,1,"calib",2.17600974501902,-0.000532501437782733,5.91229758728449e-05,-0.174443852554974
"5",0.324,1,"lasso",2.17511618249542,-0.000525448464743762,6.61759489118163e-05,-0.175337415078581
"6",0.324,1,"logit",2.46702226924004,-0.000618565076313395,-2.69406626578164e-05,0.116568671666041
"7",0.324,1,"bart",2.46256100994508,-0.000601928284089309,-1.0303870433731e-05,0.112107412371082
"8",0.324,2,"none",2.215418737922,-0.00054148228321589,5.01421304396888e-05,-0.135034859651993
"9",0.324,2,"rake",2.215418737922,-0.00054148228321589,5.01421304396888e-05,-0.135034859651993
"10",0.324,2,"strat",2.04174704285245,-0.000490199776246466,0.000101424637409112,-0.308706554721545
"11",0.324,2,"calib",1.98880120582475,-0.000472424678489368,0.000119199735166211,-0.361652391749245
"12",0.324,2,"lasso",2.21043394957,-0.00054237031435886,4.92540992967184e-05,-0.140019648003999
"13",0.324,2,"logit",1.88434830398674,-0.000453455980723295,0.000138168432932284,-0.466105293587256
"14",0.324,2,"bart",2.36635331758251,-0.000581139428433496,1.04849852220821e-05,0.0158997200085178
"15",0.324,3,"none",2.15591889195106,-0.00052231182264553,6.93125910100483e-05,-0.194534705622937
"16",0.324,3,"rake",2.15591889195106,-0.00052231182264553,6.93125910100483e-05,-0.194534705622937
"17",0.324,3,"strat",2.29821203301448,-0.000565399403557401,2.62250100981778e-05,-0.0522415645595138
"18",0.324,3,"calib",2.3489663030486,-0.000580352117610992,1.12722960445862e-05,-0.00148729452539831
"19",0.324,3,"lasso",2.2015227065922,-0.000534609968077673,5.70144455779055e-05,-0.148930890981793
"20",0.324,3,"logit",2.34034074279007,-0.000590119503107807,1.50491054777091e-06,-0.0101128547839227
"21",0.324,3,"bart",2.1899572381193,-0.000527374776512998,6.42496371425807e-05,-0.160496359454693
"22",0.324,4,"none",2.22082486264448,-0.000540176767994709,5.14476456608696e-05,-0.129628734929517
"23",0.324,4,"rake",2.22082486264448,-0.000540176767994709,5.14476456608696e-05,-0.129628734929517
"24",0.324,4,"strat",2.67767855259505,-0.000669881932822992,-7.82575191674141e-05,0.327224955021054
